GAS_ZONES,TIMESERIES,LNG_import_ref_quantity,LNG_export_ref_quantity
FL,20230103,0.0,1689.6
FL,20230130,0.0,4886.4
FL,20230306,0.0,4915.2
FL,20230315,0.0,31756.8
FL,20230403,0.0,2438.4
FL,20230410,0.0,844.8
FL,20230517,0.0,3254.4
FL,20230530,0.0,3254.4
FL,20230630,0.0,2438.4
FL,20230710,0.0,2438.4
FL,20230803,0.0,2438.4
FL,20230906,0.0,1689.6
FL,20231020,0.0,3254.4
FL,20231218,0.0,1660.8
FL,20231228,0.0,6508.8
GA,20230615,0.0,2804361.6
GA,20230906,0.0,2807644.8
LA,20230103,0.0,13538112.0
LA,20230213,0.0,7150588.8
LA,20230216,0.0,3517478.4
LA,20230306,0.0,6620899.2
LA,20230315,0.0,6367036.8
LA,20230403,0.0,13713763.2
LA,20230410,0.0,6293088.0
LA,20230517,0.0,9968284.8
LA,20230530,0.0,3439382.4
LA,20230615,0.0,3504892.8
LA,20230630,0.0,9751248.0
LA,20230710,0.0,6507062.4
LA,20230727,0.0,6917001.6
LA,20230803,0.0,6888787.2
LA,20230831,0.0,9908841.6
LA,20230906,0.0,3522691.2
LA,20231005,0.0,9629433.6
LA,20231020,0.0,3245932.8
LA,20231121,0.0,3523756.8
LA,20231129,0.0,6675139.2
LA,20231218,0.0,6877833.6
LA,20231228,0.0,6993523.2
MD,20230216,0.0,3331910.4
TX,20230103,0.0,3586348.8
TX,20230213,0.0,3399033.6
TX,20230306,0.0,3304646.4
TX,20230315,0.0,2986540.8
TX,20230410,0.0,6917203.2
TX,20230517,0.0,3560217.6
TX,20230530,0.0,3452390.4
TX,20230615,0.0,6850185.6
TX,20230630,0.0,6646118.4
TX,20230710,0.0,7207065.6
TX,20230727,0.0,6477619.2
TX,20230831,0.0,3578726.4
TX,20231005,0.0,3519321.6
TX,20231020,0.0,6325046.4
TX,20231121,0.0,6975254.4
TX,20231218,0.0,6590995.2
TX,20231228,0.0,6744537.6
