CO2_PROGRAM,PERIOD,LOAD_ZONE,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2
ETS 1,2023,BASN,1560000000.0,200
ETS 1,2023,CANO,0.0,200
ETS 1,2023,CASO,0.0,200
ETS 1,2023,FRCC,0.0,200
ETS 1,2023,ISNE,0.0,200
ETS 1,2023,MISC,0.0,200
ETS 1,2023,MISE,0.0,200
ETS 1,2023,MISS,0.0,200
ETS 1,2023,MISW,0.0,200
ETS 1,2023,NWPP,0.0,200
ETS 1,2023,NYCW,0.0,200
ETS 1,2023,NYUP,0.0,200
ETS 1,2023,PJMC,0.0,200
ETS 1,2023,PJMD,0.0,200
ETS 1,2023,PJME,0.0,200
ETS 1,2023,PJMW,0.0,200
ETS 1,2023,RMRG,0.0,200
ETS 1,2023,SPPC,0.0,200
ETS 1,2023,SPPN,0.0,200
ETS 1,2023,SPPS,0.0,200
ETS 1,2023,SRCA,0.0,200
ETS 1,2023,SRCE,0.0,200
ETS 1,2023,SRSE,0.0,200
ETS 1,2023,SRSG,0.0,200
ETS 1,2023,TRE,0.0,200
ETS 1,2023,TREW,0.0,200
