GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
BASN_id_natural_gas_fired_combined_cycle_1,2012,0.0,16492.0,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1967,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1970,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1972,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1979,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1980,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1982,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1993,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1994,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,1996,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2003,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2004,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2006,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2008,0.0,11560.731,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2011,0.0,11560.731,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2004,0.0,11250.964,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2005,0.0,11250.964,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2006,0.0,11250.964,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2007,0.0,11250.964,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2014,0.0,11250.964,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2025,0.0,11250.964,.,.
BASN_id_natural_gas_fired_combustion_turbine_1,2001,0.0,10931.0,.,.
BASN_id_natural_gas_fired_combustion_turbine_1,2005,0.0,10931.0,.,.
BASN_id_natural_gas_fired_combustion_turbine_1,2008,0.0,10931.0,.,.
BASN_id_natural_gas_fired_combustion_turbine_2,2015,0.0,13412.0,.,.
BASN_nv_natural_gas_fired_combustion_turbine_1,1973,0.0,9488.545,.,.
BASN_nv_natural_gas_fired_combustion_turbine_1,1995,0.0,9488.545,.,.
BASN_nv_natural_gas_fired_combustion_turbine_1,2006,0.0,9488.545,.,.
BASN_nv_natural_gas_fired_combustion_turbine_1,2008,0.0,9488.545,.,.
BASN_nv_natural_gas_fired_combustion_turbine_2,1991,0.0,10984.07,.,.
BASN_nv_natural_gas_fired_combustion_turbine_2,1994,0.0,10984.07,.,.
BASN_nv_natural_gas_fired_combustion_turbine_2,2009,0.0,10984.07,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,1972,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2001,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2002,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2004,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2006,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2008,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2010,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2012,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2019,0.0,13412.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_2,1982,0.0,10931.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_2,2001,0.0,10931.0,.,.
BASN_ut_natural_gas_fired_combustion_turbine_2,2002,0.0,10931.0,.,.
BASN_nv_natural_gas_internal_combustion_engine_1,2005,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,1986,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,1988,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,1989,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,1995,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,1996,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2000,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2002,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2003,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2004,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2006,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2007,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2008,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2015,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2016,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2018,0.0,24000.0,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2022,0.0,24000.0,.,.
BASN_id_natural_gas_steam_turbine_1,1948,0.0,51303.0,.,.
BASN_id_natural_gas_steam_turbine_1,1968,0.0,51303.0,.,.
BASN_id_natural_gas_steam_turbine_1,1994,0.0,51303.0,.,.
BASN_nv_natural_gas_steam_turbine_1,1974,0.0,51303.0,.,.
BASN_nv_natural_gas_steam_turbine_1,1978,0.0,51303.0,.,.
BASN_ut_natural_gas_steam_turbine_1,1982,0.0,51303.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1987,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1989,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1990,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1992,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1995,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1996,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,1997,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2002,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2003,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2004,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2005,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2006,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2007,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2011,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2012,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2013,0.0,16492.0,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2001,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2002,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2003,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2005,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2006,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2009,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2010,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2013,0.0,10426.862,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,1989,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,1996,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2001,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2002,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2006,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2009,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2012,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2013,0.0,9973.255,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1973,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1980,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1981,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1982,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1986,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1987,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1988,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1989,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1990,0.0,13412.0,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1991,0.0,13412.0,.,.
