load_zone,fuel,period,fuel_cost
CANO,Coal,2023,1.837589619
CANO,Uranium,2023,0.687512505
CANO,Naturalgas,2023,0
CANO,Distillate,2023,20.3194859
CANO,Hydrogen,2023,16
CANO,Waste_biomass,2023,1
CASO,Coal,2023,1.837589619
CASO,Uranium,2023,0.687512505
CASO,Naturalgas,2023,0
CASO,Distillate,2023,20.3194859
CASO,Hydrogen,2023,16
CASO,Waste_biomass,2023,1
NWPP,Coal,2023,1.837589619
NWPP,Uranium,2023,0.687512505
NWPP,Naturalgas,2023,0
NWPP,Distillate,2023,20.3194859
NWPP,Hydrogen,2023,16
NWPP,Waste_biomass,2023,1
BASN,Coal,2023,1.913082926
BASN,Uranium,2023,0.687512505
BASN,Naturalgas,2023,0
BASN,Distillate,2023,20.86935302
BASN,Hydrogen,2023,16
BASN,Waste_biomass,2023,1
RMRG,Coal,2023,1.913082926
RMRG,Uranium,2023,0.687512505
RMRG,Naturalgas,2023,0
RMRG,Distillate,2023,20.86935302
RMRG,Hydrogen,2023,16
RMRG,Waste_biomass,2023,1
SRSG,Coal,2023,1.913082926
SRSG,Uranium,2023,0.687512505
SRSG,Naturalgas,2023,0
SRSG,Distillate,2023,20.86935302
SRSG,Hydrogen,2023,16
SRSG,Waste_biomass,2023,1
ISNE,Coal,2023,3.153688971
ISNE,Uranium,2023,0.687512505
ISNE,Naturalgas,2023,0
ISNE,Distillate,2023,18.6456243
ISNE,Hydrogen,2023,16
ISNE,Waste_biomass,2023,1
FRCC,Coal,2023,2.405747435
FRCC,Uranium,2023,0.687512505
FRCC,Naturalgas,2023,0
FRCC,Distillate,2023,20.12865135
FRCC,Hydrogen,2023,16
FRCC,Waste_biomass,2023,1
SRSE,Coal,2023,2.405747435
SRSE,Uranium,2023,0.687512505
SRSE,Naturalgas,2023,0
SRSE,Distillate,2023,20.12865135
SRSE,Hydrogen,2023,16
SRSE,Waste_biomass,2023,1
PJMD,Coal,2023,2.405747435
PJMD,Uranium,2023,0.687512505
PJMD,Naturalgas,2023,0
PJMD,Distillate,2023,20.12865135
PJMD,Hydrogen,2023,16
PJMD,Waste_biomass,2023,1
SRCA,Coal,2023,2.405747435
SRCA,Uranium,2023,0.687512505
SRCA,Naturalgas,2023,0
SRCA,Distillate,2023,20.12865135
SRCA,Hydrogen,2023,16
SRCA,Waste_biomass,2023,1
PJME,Coal,2023,2.008910906
PJME,Uranium,2023,0.687512505
PJME,Naturalgas,2023,0
PJME,Distillate,2023,21.42332719
PJME,Hydrogen,2023,16
PJME,Waste_biomass,2023,1
NYCW,Coal,2023,2.008910906
NYCW,Uranium,2023,0.687512505
NYCW,Naturalgas,2023,0
NYCW,Distillate,2023,21.42332719
NYCW,Hydrogen,2023,16
NYCW,Waste_biomass,2023,1
NYUP,Coal,2023,2.008910906
NYUP,Uranium,2023,0.687512505
NYUP,Naturalgas,2023,0
NYUP,Distillate,2023,21.42332719
NYUP,Hydrogen,2023,16
NYUP,Waste_biomass,2023,1
TRE,Coal,2023,1.784169317
TRE,Uranium,2023,0.687512505
TRE,Naturalgas,2023,0
TRE,Distillate,2023,18.3998699
TRE,Hydrogen,2023,16
TRE,Waste_biomass,2023,1
TREW,Coal,2023,1.784169317
TREW,Uranium,2023,0.687512505
TREW,Naturalgas,2023,0
TREW,Distillate,2023,18.3998699
TREW,Hydrogen,2023,16
TREW,Waste_biomass,2023,1
SPPS,Coal,2023,1.784169317
SPPS,Uranium,2023,0.687512505
SPPS,Naturalgas,2023,0
SPPS,Distillate,2023,18.3998699
SPPS,Hydrogen,2023,16
SPPS,Waste_biomass,2023,1
MISS,Coal,2023,1.784169317
MISS,Uranium,2023,0.687512505
MISS,Naturalgas,2023,0
MISS,Distillate,2023,18.3998699
MISS,Hydrogen,2023,16
MISS,Waste_biomass,2023,1
SRCE,Coal,2023,1.808104822
SRCE,Uranium,2023,0.687512505
SRCE,Naturalgas,2023,0
SRCE,Distillate,2023,18.41782631
SRCE,Hydrogen,2023,16
SRCE,Waste_biomass,2023,1
SPPC,Coal,2023,1.519885435
SPPC,Uranium,2023,0.687512505
SPPC,Naturalgas,2023,0
SPPC,Distillate,2023,17.40290743
SPPC,Hydrogen,2023,16
SPPC,Waste_biomass,2023,1
SPPN,Coal,2023,1.519885435
SPPN,Uranium,2023,0.687512505
SPPN,Naturalgas,2023,0
SPPN,Distillate,2023,17.40290743
SPPN,Hydrogen,2023,16
SPPN,Waste_biomass,2023,1
MISW,Coal,2023,1.902414148
MISW,Uranium,2023,0.687512505
MISW,Naturalgas,2023,0
MISW,Distillate,2023,17.24024915
MISW,Hydrogen,2023,16
MISW,Waste_biomass,2023,1
MISE,Coal,2023,1.902414148
MISE,Uranium,2023,0.687512505
MISE,Naturalgas,2023,0
MISE,Distillate,2023,17.24024915
MISE,Hydrogen,2023,16
MISE,Waste_biomass,2023,1
MISC,Coal,2023,1.902414148
MISC,Uranium,2023,0.687512505
MISC,Naturalgas,2023,0
MISC,Distillate,2023,17.24024915
MISC,Hydrogen,2023,16
MISC,Waste_biomass,2023,1
PJMC,Coal,2023,1.902414148
PJMC,Uranium,2023,0.687512505
PJMC,Naturalgas,2023,0
PJMC,Distillate,2023,17.24024915
PJMC,Hydrogen,2023,16
PJMC,Waste_biomass,2023,1
PJMW,Coal,2023,1.902414148
PJMW,Uranium,2023,0.687512505
PJMW,Naturalgas,2023,0
PJMW,Distillate,2023,17.24024915
PJMW,Hydrogen,2023,16
PJMW,Waste_biomass,2023,1
