regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
loadzone-Fuel,2020,1,1.9,651929
loadzone-Fuel,2020,2,4.0,3845638
loadzone-Fuel,2020,3,487.5,3871799
loadzone-Fuel,2020,4,563.7,3882177
loadzone-Fuel,2020,5,637.8,3889953
loadzone-Fuel,2020,6,816.7,3920836
loadzone-Fuel,2030,1,1.9,651929
loadzone-Fuel,2030,2,4.0,3845638
loadzone-Fuel,2030,3,487.5,3871799
loadzone-Fuel,2030,4,563.7,3882177
loadzone-Fuel,2030,5,637.8,3889953
loadzone-Fuel,2030,6,816.7,3920836
loadzone-Fuel,2040,1,1.9,651929
loadzone-Fuel,2040,2,4.0,3845638
loadzone-Fuel,2040,3,487.5,3871799
loadzone-Fuel,2040,4,563.7,3882177
loadzone-Fuel,2040,5,637.8,3889953
loadzone-Fuel,2040,6,816.7,3920836
loadzone-Fuel,2050,1,1.9,651929
loadzone-Fuel,2050,2,4.0,3845638
loadzone-Fuel,2050,3,487.5,3871799
loadzone-Fuel,2050,4,563.7,3882177
loadzone-Fuel,2050,5,637.8,3889953
loadzone-Fuel,2050,6,816.7,3920836
