GAS_ZONES,TIMESERIES,DEMAND_SECTORS,gas_ref_price,gas_demand_ref_quantity
AL,20230103,EI,5.86886684867569,1483794.4808925
AL,20230103,RC,9.73739807370742,181218.929581033
AL,20230130,EI,4.5211377288464,1583554.32625065
AL,20230130,RC,7.5012977712672,275979.218282674
AL,20230213,EI,3.86802691927268,1809766.36215497
AL,20230213,RC,6.41768144412295,419265.182796944
AL,20230216,EI,3.96152297944053,1430209.27364855
AL,20230216,RC,6.57280650994091,143078.606400871
AL,20230306,EI,3.91744158780155,1589320.35043208
AL,20230306,RC,6.49966836094224,176514.757905418
AL,20230315,EI,3.89550281952689,1909699.35455692
AL,20230315,RC,6.46326840070368,518096.85216438
AL,20230403,EI,3.31364166203605,1512715.94532026
AL,20230403,RC,5.49786675500184,146679.397940091
AL,20230410,EI,3.40519848486829,1475953.09224067
AL,20230410,RC,5.64977431284371,171868.105189845
AL,20230517,EI,3.54647555898066,1857484.75994029
AL,20230517,RC,5.88417579864863,68488.9351589209
AL,20230530,EI,3.32212584794371,1486815.92530295
AL,20230530,RC,5.51194338983517,73481.9372944049
AL,20230615,EI,3.42767044634121,1748326.61380319
AL,20230615,RC,5.68705892672249,61029.2395421861
AL,20230630,EI,3.89626542924704,2389355.53059373
AL,20230630,RC,6.46453369341035,58202.1344843332
AL,20230710,EI,4.00411657329887,2012302.78597162
AL,20230710,RC,6.64347616210418,56850.0351632348
AL,20230727,EI,3.87407164479375,2474916.41259262
AL,20230727,RC,6.42771062013981,55352.5063773545
AL,20230803,EI,3.82506295238289,2365699.23843196
AL,20230803,RC,6.3463972832758,55039.6730619769
AL,20230831,EI,4.00490977681684,1969338.04860476
AL,20230831,RC,6.6447922148631,55424.0964495059
AL,20230906,EI,3.89366742017119,2268984.10270109
AL,20230906,RC,6.46022317670875,56412.4393971529
AL,20230912,EI,4.25143193985231,2199888.02074609
AL,20230912,RC,7.05381230295888,57189.9922706421
AL,20231005,EI,4.56302261242581,1798231.27862119
AL,20231005,RC,7.57079155860293,63666.9419653437
AL,20231020,EI,4.0629653398312,1495178.96540518
AL,20231020,RC,6.74111577135877,82103.7894469078
AL,20231121,EI,4.10984570913694,1482951.01202824
AL,20231121,RC,6.81889787641291,116098.949779541
AL,20231129,EI,4.21923323751701,1945731.811494
AL,20231129,RC,7.00038945487257,334112.83464348
AL,20231218,EI,4.04733855006262,1706576.58552124
AL,20231218,RC,6.71518840300739,288122.256089189
AL,20231228,EI,3.98483139098829,1701161.30185106
AL,20231228,RC,6.61147892960187,317861.300943031
AR,20230103,EI,7.25605355836267,682654.665756235
AR,20230103,RC,9.85489943209468,356050.226100336
AR,20230130,EI,5.58977028293737,763274.950075946
AR,20230130,RC,7.59181606692682,498420.700298349
AR,20230213,EI,4.78228782746441,758121.516124132
AR,20230213,RC,6.49512372199565,473040.566716194
AR,20230216,EI,4.8978829563992,745371.589074849
AR,20230216,RC,6.65212068478399,339346.48922139
AR,20230306,EI,4.84338232673646,757163.702000865
AR,20230306,RC,6.57809997642067,339513.286531774
AR,20230315,EI,4.81625803141506,801950.240586251
AR,20230315,RC,6.54126077720462,538012.98772553
AR,20230403,EI,4.09686605488093,792955.184692684
AR,20230403,RC,5.56420961241148,281156.959299863
AR,20230410,EI,4.2100635812917,718488.935390378
AR,20230410,RC,5.71795024149688,262985.714373251
AR,20230517,EI,4.38473341837609,877707.664895377
AR,20230517,RC,5.95518025426369,161621.687424201
AR,20230530,EI,4.10735559382131,915628.290373205
AR,20230530,RC,5.57845611025153,152188.79311431
AR,20230615,EI,4.23784709729458,934851.005980094
AR,20230615,RC,5.7556847694846,142827.530836656
AR,20230630,EI,4.8172008943418,1648491.70322169
AR,20230630,RC,6.54254133822123,139062.036430385
AR,20230710,EI,4.9505441269877,819837.903805293
AR,20230710,RC,6.72364310891602,137144.131765427
AR,20230727,EI,4.78976130629045,1422957.1811894
AR,20230727,RC,6.50527392026061,137264.174745952
AR,20230803,EI,4.72916874112794,1625596.73239391
AR,20230803,RC,6.42297937389236,137381.909209068
AR,20230831,EI,4.95152481497355,995835.884193764
AR,20230831,RC,6.72497504250735,137479.50519604
AR,20230906,EI,4.81398881039347,1279273.46167544
AR,20230906,RC,6.53817880643676,138814.05434177
AR,20230912,EI,5.25631585290831,886403.447498746
AR,20230912,RC,7.13893078339201,138730.247963915
AR,20231005,EI,5.64155522990827,755458.279151575
AR,20231005,RC,7.6621484370492,143822.447703249
AR,20231020,EI,5.02330260197312,794969.240755331
AR,20231020,RC,6.8224609370986,162972.053487935
AR,20231121,EI,5.08126378584204,702964.38395183
AR,20231121,RC,6.90118164021897,252923.995157644
AR,20231129,EI,5.21650654820285,763611.536873075
AR,20231129,RC,7.08486328083317,384955.889314953
AR,20231218,EI,5.00398220735014,703705.866193708
AR,20231218,RC,6.79622070272515,373238.562386823
AR,20231228,EI,4.92670062885825,730267.210367893
AR,20231228,RC,6.69125976523132,478703.201022056
AZ,20230103,EI,12.1045378753936,1048261.60814889
AZ,20230103,RC,17.9992647246183,451680.39524454
AZ,20230130,EI,9.3248465657457,1084266.48068708
AZ,20230130,RC,13.8659057934376,468985.536227701
AZ,20230213,EI,7.9778055209999,938951.762949755
AZ,20230213,RC,11.8628761355608,367055.259069023
AZ,20230216,EI,8.1706411450961,1786448.11982678
AZ,20230216,RC,12.1496197917148,829292.284940278
AZ,20230306,EI,8.0797232748407,973529.849673887
AZ,20230306,RC,12.0144262938901,346678.812316853
AZ,20230315,EI,8.0344745652742,890336.31988119
AZ,20230315,RC,11.9471421472074,252874.838409042
AZ,20230403,EI,6.83438592794935,1012955.48839241
AZ,20230403,RC,10.1626284963288,237486.690840654
