GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
BASN_id_natural_gas_fired_combined_cycle_1,2012,302.2,.
BASN_nv_natural_gas_fired_combined_cycle_1,1967,490.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1970,93.1,.
BASN_nv_natural_gas_fired_combined_cycle_1,1972,190.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1979,162.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1980,81.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1982,81.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1993,88.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1994,209.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,1996,40.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,2003,816.6,.
BASN_nv_natural_gas_fired_combined_cycle_1,2004,1200.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,2006,1202.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,2008,578.0,.
BASN_nv_natural_gas_fired_combined_cycle_1,2011,524.0,.
BASN_ut_natural_gas_fired_combined_cycle_1,2004,140.0,.
BASN_ut_natural_gas_fired_combined_cycle_1,2005,286.0,.
BASN_ut_natural_gas_fired_combined_cycle_1,2006,269.0,.
BASN_ut_natural_gas_fired_combined_cycle_1,2007,563.0,.
BASN_ut_natural_gas_fired_combined_cycle_1,2014,647.4,.
BASN_ut_natural_gas_fired_combined_cycle_1,2025,840.0,.
BASN_id_natural_gas_fired_combustion_turbine_1,2001,61.400000000000006,.
BASN_id_natural_gas_fired_combustion_turbine_1,2005,183.6,.
BASN_id_natural_gas_fired_combustion_turbine_1,2008,172.7,.
BASN_id_natural_gas_fired_combustion_turbine_2,2015,5.3,.
BASN_nv_natural_gas_fired_combustion_turbine_1,1973,59.0,.
BASN_nv_natural_gas_fired_combustion_turbine_1,1995,76.0,.
BASN_nv_natural_gas_fired_combustion_turbine_1,2006,76.0,.
BASN_nv_natural_gas_fired_combustion_turbine_1,2008,684.0,.
BASN_nv_natural_gas_fired_combustion_turbine_2,1991,222.0,.
BASN_nv_natural_gas_fired_combustion_turbine_2,1994,144.0,.
BASN_nv_natural_gas_fired_combustion_turbine_2,2009,8.0,.
BASN_ut_natural_gas_fired_combustion_turbine_1,1972,39.0,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2001,31.1,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2002,28.6,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2004,30.200000000000003,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2006,39.0,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2008,6.6,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2010,45.4,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2012,27.0,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2019,15.0,.
BASN_ut_natural_gas_fired_combustion_turbine_2,1982,122.10000000000001,.
BASN_ut_natural_gas_fired_combustion_turbine_2,2001,82.0,.
BASN_ut_natural_gas_fired_combustion_turbine_2,2002,123.0,.
BASN_nv_natural_gas_internal_combustion_engine_1,2005,117.60000000000001,.
BASN_ut_natural_gas_internal_combustion_engine_1,1986,12.5,.
BASN_ut_natural_gas_internal_combustion_engine_1,1988,5.2,.
BASN_ut_natural_gas_internal_combustion_engine_1,1989,0.2,.
BASN_ut_natural_gas_internal_combustion_engine_1,1995,4.0,.
BASN_ut_natural_gas_internal_combustion_engine_1,1996,0.1,.
BASN_ut_natural_gas_internal_combustion_engine_1,2000,6.0,.
BASN_ut_natural_gas_internal_combustion_engine_1,2002,6.199999999999999,.
BASN_ut_natural_gas_internal_combustion_engine_1,2003,3.8,.
BASN_ut_natural_gas_internal_combustion_engine_1,2004,6.6,.
BASN_ut_natural_gas_internal_combustion_engine_1,2006,1.9,.
BASN_ut_natural_gas_internal_combustion_engine_1,2007,8.2,.
BASN_ut_natural_gas_internal_combustion_engine_1,2008,4.0,.
BASN_ut_natural_gas_internal_combustion_engine_1,2015,4.199999999999999,.
BASN_ut_natural_gas_internal_combustion_engine_1,2016,5.0,.
BASN_ut_natural_gas_internal_combustion_engine_1,2018,12.0,.
BASN_ut_natural_gas_internal_combustion_engine_1,2022,23.9,.
BASN_id_natural_gas_steam_turbine_1,1948,5.7,.
BASN_id_natural_gas_steam_turbine_1,1968,6.0,.
BASN_id_natural_gas_steam_turbine_1,1994,5.0,.
BASN_nv_natural_gas_steam_turbine_1,1974,108.0,.
BASN_nv_natural_gas_steam_turbine_1,1978,226.0,.
BASN_ut_natural_gas_steam_turbine_1,1982,237.5,.
CANO_ca_natural_gas_fired_combined_cycle_1,1987,254.5,.
CANO_ca_natural_gas_fired_combined_cycle_1,1989,150.5,.
CANO_ca_natural_gas_fired_combined_cycle_1,1990,73.1,.
CANO_ca_natural_gas_fired_combined_cycle_1,1992,104.0,.
CANO_ca_natural_gas_fired_combined_cycle_1,1995,357.2,.
CANO_ca_natural_gas_fired_combined_cycle_1,1996,54.5,.
CANO_ca_natural_gas_fired_combined_cycle_1,1997,296.8,.
CANO_ca_natural_gas_fired_combined_cycle_1,2002,45.0,.
CANO_ca_natural_gas_fired_combined_cycle_1,2003,437.9,.
CANO_ca_natural_gas_fired_combined_cycle_1,2004,52.2,.
CANO_ca_natural_gas_fired_combined_cycle_1,2005,147.8,.
CANO_ca_natural_gas_fired_combined_cycle_1,2006,299.4,.
CANO_ca_natural_gas_fired_combined_cycle_1,2007,211.0,.
CANO_ca_natural_gas_fired_combined_cycle_1,2011,46.0,.
CANO_ca_natural_gas_fired_combined_cycle_1,2012,456.8,.
CANO_ca_natural_gas_fired_combined_cycle_1,2013,126.1,.
CANO_ca_natural_gas_fired_combined_cycle_2,2001,1473.0,.
CANO_ca_natural_gas_fired_combined_cycle_2,2002,1858.6,.
CANO_ca_natural_gas_fired_combined_cycle_2,2003,1885.0,.
CANO_ca_natural_gas_fired_combined_cycle_2,2005,596.9,.
CANO_ca_natural_gas_fired_combined_cycle_2,2006,581.6,.
CANO_ca_natural_gas_fired_combined_cycle_2,2009,585.8,.
CANO_ca_natural_gas_fired_combined_cycle_2,2010,668.0,.
CANO_ca_natural_gas_fired_combined_cycle_2,2013,648.0,.
CANO_ca_natural_gas_fired_combustion_turbine_1,1989,249.0,.
CANO_ca_natural_gas_fired_combustion_turbine_1,1996,49.5,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2001,90.0,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2002,45.0,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2006,100.0,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2009,536.8,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2012,373.6,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2013,804.8,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1973,56.7,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1980,5.6,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1981,53.5,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1982,30.2,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1986,342.09999999999997,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1987,36.2,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1988,107.3,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1989,227.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1990,122.1,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1991,203.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1992,48.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1993,45.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1995,92.7,.
CANO_ca_natural_gas_fired_combustion_turbine_2,1996,116.9,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2001,219.7,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2002,283.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2003,272.3,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2005,96.0,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2015,4.4,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2016,1.8,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2022,120.0,.
CANO_ca_natural_gas_internal_combustion_engine_1,1987,1.4,.
CANO_ca_natural_gas_internal_combustion_engine_1,1989,1.4,.
CANO_ca_natural_gas_internal_combustion_engine_1,1990,7.700000000000001,.
CANO_ca_natural_gas_internal_combustion_engine_1,1997,1.6,.
CANO_ca_natural_gas_internal_combustion_engine_1,2001,94.4,.
CANO_ca_natural_gas_internal_combustion_engine_1,2002,4.4,.
CANO_ca_natural_gas_internal_combustion_engine_1,2003,1.5,.
CANO_ca_natural_gas_internal_combustion_engine_1,2004,1.0,.
CANO_ca_natural_gas_internal_combustion_engine_1,2007,1.0,.
CANO_ca_natural_gas_internal_combustion_engine_1,2008,4.2,.
CANO_ca_natural_gas_internal_combustion_engine_1,2010,152.70000000000002,.
CANO_ca_natural_gas_internal_combustion_engine_1,2011,65.5,.
CANO_ca_natural_gas_internal_combustion_engine_1,2020,12.8,.
CANO_ca_natural_gas_internal_combustion_engine_1,2023,94.8,.
CANO_ca_natural_gas_steam_turbine_1,2010,2.9,.
CASO_ca_natural_gas_fired_combined_cycle_1,1949,60.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,1977,118.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,1987,222.9,.
CASO_ca_natural_gas_fired_combined_cycle_1,1988,496.5,.
CASO_ca_natural_gas_fired_combined_cycle_1,1989,63.7,.
CASO_ca_natural_gas_fired_combined_cycle_1,1990,8.1,.
CASO_ca_natural_gas_fired_combined_cycle_1,1993,87.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,1994,195.4,.
CASO_ca_natural_gas_fired_combined_cycle_1,1996,48.300000000000004,.
CASO_ca_natural_gas_fired_combined_cycle_1,2001,51.4,.
CASO_ca_natural_gas_fired_combined_cycle_1,2002,13.7,.
CASO_ca_natural_gas_fired_combined_cycle_1,2003,12.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,2005,472.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,2007,19.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,2013,45.900000000000006,.
CASO_ca_natural_gas_fired_combined_cycle_1,2015,313.0,.
CASO_ca_natural_gas_fired_combined_cycle_1,2016,84.0,.
CASO_ca_natural_gas_fired_combined_cycle_2,2003,1899.5,.
CASO_ca_natural_gas_fired_combined_cycle_2,2005,2313.0,.
CASO_ca_natural_gas_fired_combined_cycle_2,2006,784.0,.
CASO_ca_natural_gas_fired_combined_cycle_2,2009,607.1,.
CASO_ca_natural_gas_fired_combined_cycle_2,2013,510.0,.
CASO_ca_natural_gas_fired_combined_cycle_2,2020,1368.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1969,15.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1974,54.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1982,25.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1983,27.8,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1984,42.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1985,48.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1986,59.6,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1987,19.8,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1989,98.5,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1990,89.9,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1992,1.1,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1994,48.2,.
CASO_ca_natural_gas_fired_combustion_turbine_1,1995,2.9,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2000,5.5,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2001,316.2,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2002,201.5,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2003,97.4,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2004,52.8,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2005,51.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2007,195.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2008,3.5,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2009,47.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2010,163.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2012,60.3,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2013,64.5,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2014,59.0,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2015,12.4,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2016,4.4,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2017,45.3,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2019,30.5,.
CASO_ca_natural_gas_fired_combustion_turbine_2,1976,304.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,1985,308.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,1987,312.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2001,142.5,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2002,237.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2004,94.4,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2006,100.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2011,290.8,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2013,1880.2,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2015,204.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2016,336.0,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2018,527.5,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2020,141.0,.
CASO_ca_natural_gas_internal_combustion_engine_1,1985,1.6,.
CASO_ca_natural_gas_internal_combustion_engine_1,2001,2.8,.
CASO_ca_natural_gas_internal_combustion_engine_1,2002,1.0,.
CASO_ca_natural_gas_internal_combustion_engine_1,2005,8.4,.
CASO_ca_natural_gas_internal_combustion_engine_1,2006,3.5999999999999996,.
CASO_ca_natural_gas_internal_combustion_engine_1,2012,12.600000000000001,.
CASO_ca_natural_gas_internal_combustion_engine_1,2013,4.4,.
CASO_ca_natural_gas_internal_combustion_engine_1,2015,1.2,.
CASO_ca_natural_gas_internal_combustion_engine_1,2018,6.6,.
CASO_ca_natural_gas_internal_combustion_engine_1,2021,5.0,.
CASO_ca_natural_gas_internal_combustion_engine_1,2022,1.5,.
CASO_ca_natural_gas_internal_combustion_engine_1,2023,1.5,.
CASO_ca_natural_gas_steam_turbine_1,1953,18.0,.
CASO_ca_natural_gas_steam_turbine_1,1954,178.9,.
CASO_ca_natural_gas_steam_turbine_1,1957,175.0,.
CASO_ca_natural_gas_steam_turbine_1,1958,225.8,.
CASO_ca_natural_gas_steam_turbine_1,1959,84.0,.
CASO_ca_natural_gas_steam_turbine_1,1961,332.0,.
CASO_ca_natural_gas_steam_turbine_1,1962,557.0,.
CASO_ca_natural_gas_steam_turbine_1,1963,222.0,.
CASO_ca_natural_gas_steam_turbine_1,1964,580.0,.
CASO_ca_natural_gas_steam_turbine_1,1967,486.9,.
CASO_ca_natural_gas_steam_turbine_1,1974,1752.3,.
CASO_ca_natural_gas_steam_turbine_1,1982,1.5,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1958,141.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1965,243.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1967,315.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1969,764.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1974,360.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1994,1066.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1995,125.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,1999,521.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2000,801.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2001,1457.2,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2002,2474.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2003,1962.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2004,1343.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2005,2867.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2007,2192.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2009,3997.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2011,1689.0,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2013,1393.0,.
