timestamp,time_row,timeseries,time_column
2023_p1_0,2023,2023_p1,2012p1
2023_p1_1,2023,2023_p1,2012p1
2023_p1_2,2023,2023_p1,2012p1
2023_p1_3,2023,2023_p1,2012p1
2023_p1_4,2023,2023_p1,2012p1
2023_p1_5,2023,2023_p1,2012p1
2023_p1_6,2023,2023_p1,2012p1
2023_p1_7,2023,2023_p1,2012p1
2023_p1_8,2023,2023_p1,2012p1
2023_p1_9,2023,2023_p1,2012p1
2023_p1_10,2023,2023_p1,2012p1
2023_p1_11,2023,2023_p1,2012p1
2023_p1_12,2023,2023_p1,2012p1
2023_p1_13,2023,2023_p1,2012p1
2023_p1_14,2023,2023_p1,2012p1
2023_p1_15,2023,2023_p1,2012p1
2023_p1_16,2023,2023_p1,2012p1
2023_p1_17,2023,2023_p1,2012p1
2023_p1_18,2023,2023_p1,2012p1
2023_p1_19,2023,2023_p1,2012p1
2023_p1_20,2023,2023_p1,2012p1
2023_p1_21,2023,2023_p1,2012p1
2023_p1_22,2023,2023_p1,2012p1
2023_p1_23,2023,2023_p1,2012p1
2023_p2_0,2023,2023_p2,2012p2
2023_p2_1,2023,2023_p2,2012p2
2023_p2_2,2023,2023_p2,2012p2
2023_p2_3,2023,2023_p2,2012p2
2023_p2_4,2023,2023_p2,2012p2
2023_p2_5,2023,2023_p2,2012p2
2023_p2_6,2023,2023_p2,2012p2
2023_p2_7,2023,2023_p2,2012p2
2023_p2_8,2023,2023_p2,2012p2
2023_p2_9,2023,2023_p2,2012p2
2023_p2_10,2023,2023_p2,2012p2
2023_p2_11,2023,2023_p2,2012p2
2023_p2_12,2023,2023_p2,2012p2
2023_p2_13,2023,2023_p2,2012p2
2023_p2_14,2023,2023_p2,2012p2
2023_p2_15,2023,2023_p2,2012p2
2023_p2_16,2023,2023_p2,2012p2
2023_p2_17,2023,2023_p2,2012p2
2023_p2_18,2023,2023_p2,2012p2
2023_p2_19,2023,2023_p2,2012p2
2023_p2_20,2023,2023_p2,2012p2
2023_p2_21,2023,2023_p2,2012p2
2023_p2_22,2023,2023_p2,2012p2
2023_p2_23,2023,2023_p2,2012p2
2023_p3_0,2023,2023_p3,2012p3
2023_p3_1,2023,2023_p3,2012p3
2023_p3_2,2023,2023_p3,2012p3
2023_p3_3,2023,2023_p3,2012p3
2023_p3_4,2023,2023_p3,2012p3
2023_p3_5,2023,2023_p3,2012p3
2023_p3_6,2023,2023_p3,2012p3
2023_p3_7,2023,2023_p3,2012p3
2023_p3_8,2023,2023_p3,2012p3
2023_p3_9,2023,2023_p3,2012p3
2023_p3_10,2023,2023_p3,2012p3
2023_p3_11,2023,2023_p3,2012p3
2023_p3_12,2023,2023_p3,2012p3
2023_p3_13,2023,2023_p3,2012p3
2023_p3_14,2023,2023_p3,2012p3
2023_p3_15,2023,2023_p3,2012p3
2023_p3_16,2023,2023_p3,2012p3
