HYDRO_GENERATION_PROJECTS,hydro_efficiency,hydraulic_location
BASN_conventional_hydroelectric_1,0.9803921568627451,BASN_conventional_hydroelectric_1
CANO_conventional_hydroelectric_1,0.9803921568627451,CANO_conventional_hydroelectric_1
CASO_conventional_hydroelectric_1,0.9803921568627451,CASO_conventional_hydroelectric_1
FRCC_conventional_hydroelectric_1,0.9803921568627451,FRCC_conventional_hydroelectric_1
ISNE_conventional_hydroelectric_1,0.9803921568627451,ISNE_conventional_hydroelectric_1
MISC_conventional_hydroelectric_1,0.9803921568627451,MISC_conventional_hydroelectric_1
MISE_conventional_hydroelectric_1,0.9803921568627451,MISE_conventional_hydroelectric_1
MISS_conventional_hydroelectric_1,0.9803921568627451,MISS_conventional_hydroelectric_1
MISW_conventional_hydroelectric_1,0.9803921568627451,MISW_conventional_hydroelectric_1
NWPP_conventional_hydroelectric_1,0.9803921568627451,NWPP_conventional_hydroelectric_1
NYUP_conventional_hydroelectric_1,0.9803921568627451,NYUP_conventional_hydroelectric_1
PJMC_conventional_hydroelectric_1,0.9803921568627451,PJMC_conventional_hydroelectric_1
PJMD_conventional_hydroelectric_1,0.9803921568627451,PJMD_conventional_hydroelectric_1
PJME_conventional_hydroelectric_1,0.9803921568627451,PJME_conventional_hydroelectric_1
PJMW_conventional_hydroelectric_1,0.9803921568627451,PJMW_conventional_hydroelectric_1
RMRG_conventional_hydroelectric_1,0.9803921568627451,RMRG_conventional_hydroelectric_1
SPPC_conventional_hydroelectric_1,0.9803921568627451,SPPC_conventional_hydroelectric_1
SPPN_conventional_hydroelectric_1,0.9803921568627451,SPPN_conventional_hydroelectric_1
SPPS_conventional_hydroelectric_1,0.9803921568627451,SPPS_conventional_hydroelectric_1
SRCA_conventional_hydroelectric_1,0.9803921568627451,SRCA_conventional_hydroelectric_1
SRCE_conventional_hydroelectric_1,0.9803921568627451,SRCE_conventional_hydroelectric_1
SRSE_conventional_hydroelectric_1,0.9803921568627451,SRSE_conventional_hydroelectric_1
SRSG_conventional_hydroelectric_1,0.9803921568627451,SRSG_conventional_hydroelectric_1
TRE_conventional_hydroelectric_1,0.9803921568627451,TRE_conventional_hydroelectric_1
