timepoint_id,tp_to_hts
1,20230103
2,20230130
3,20230213
4,20230216
5,20230306
6,20230315
7,20230403
8,20230410
9,20230530
10,20230517
11,20230630
12,20230615
13,20230727
14,20230710
15,20230803
16,20230831
17,20230906
18,20230912
19,20231005
20,20231020
21,20231129
22,20231121
23,20231228
24,20231218
25,20230103
26,20230130
27,20230213
28,20230216
29,20230306
30,20230315
31,20230403
32,20230410
33,20230530
34,20230517
35,20230630
36,20230615
37,20230727
38,20230710
39,20230803
40,20230831
41,20230906
42,20230912
43,20231005
44,20231020
45,20231129
46,20231121
47,20231228
48,20231218
49,20230103
50,20230130
51,20230213
52,20230216
53,20230306
54,20230315
55,20230403
56,20230410
57,20230530
58,20230517
59,20230630
60,20230615
61,20230727
62,20230710
63,20230803
64,20230831
65,20230906
66,20230912
67,20231005
68,20231020
69,20231129
70,20231121
71,20231228
72,20231218
73,20230103
74,20230130
75,20230213
76,20230216
77,20230306
78,20230315
79,20230403
80,20230410
81,20230530
82,20230517
83,20230630
84,20230615
85,20230727
86,20230710
87,20230803
88,20230831
89,20230906
90,20230912
91,20231005
92,20231020
93,20231129
94,20231121
95,20231228
96,20231218
97,20230103
98,20230130
99,20230213
100,20230216
101,20230306
102,20230315
103,20230403
104,20230410
105,20230530
106,20230517
107,20230630
108,20230615
109,20230727
110,20230710
111,20230803
112,20230831
113,20230906
114,20230912
115,20231005
116,20231020
117,20231129
118,20231121
119,20231228
120,20231218
121,20230103
122,20230130
123,20230213
124,20230216
125,20230306
126,20230315
127,20230403
128,20230410
129,20230530
130,20230517
131,20230630
132,20230615
133,20230727
134,20230710
135,20230803
136,20230831
137,20230906
138,20230912
139,20231005
140,20231020
141,20231129
142,20231121
143,20231228
144,20231218
145,20230103
146,20230130
147,20230213
148,20230216
149,20230306
150,20230315
151,20230403
152,20230410
153,20230530
154,20230517
155,20230630
156,20230615
157,20230727
158,20230710
159,20230803
160,20230831
161,20230906
162,20230912
163,20231005
164,20231020
165,20231129
166,20231121
167,20231228
168,20231218
169,20230103
170,20230130
171,20230213
172,20230216
173,20230306
174,20230315
175,20230403
176,20230410
177,20230530
178,20230517
179,20230630
180,20230615
181,20230727
182,20230710
183,20230803
184,20230831
185,20230906
186,20230912
187,20231005
188,20231020
189,20231129
190,20231121
191,20231228
192,20231218
193,20230103
194,20230130
195,20230213
196,20230216
197,20230306
198,20230315
199,20230403
200,20230410
201,20230530
202,20230517
203,20230630
204,20230615
205,20230727
206,20230710
207,20230803
208,20230831
209,20230906
210,20230912
211,20231005
212,20231020
213,20231129
214,20231121
215,20231228
216,20231218
217,20230103
218,20230130
219,20230213
220,20230216
221,20230306
222,20230315
223,20230403
224,20230410
225,20230530
226,20230517
227,20230630
228,20230615
229,20230727
230,20230710
231,20230803
232,20230831
233,20230906
234,20230912
235,20231005
236,20231020
237,20231129
238,20231121
239,20231228
240,20231218
241,20230103
242,20230130
243,20230213
244,20230216
245,20230306
246,20230315
247,20230403
248,20230410
249,20230530
250,20230517
251,20230630
252,20230615
253,20230727
254,20230710
255,20230803
256,20230831
257,20230906
258,20230912
259,20231005
260,20231020
261,20231129
262,20231121
263,20231228
264,20231218
265,20230103
266,20230130
267,20230213
268,20230216
269,20230306
270,20230315
271,20230403
272,20230410
273,20230530
274,20230517
275,20230630
276,20230615
277,20230727
278,20230710
279,20230803
280,20230831
281,20230906
282,20230912
283,20231005
284,20231020
285,20231129
286,20231121
287,20231228
288,20231218
289,20230103
290,20230130
291,20230213
292,20230216
293,20230306
294,20230315
295,20230403
296,20230410
297,20230530
298,20230517
299,20230630
300,20230615
301,20230727
302,20230710
303,20230803
304,20230831
305,20230906
306,20230912
307,20231005
308,20231020
309,20231129
310,20231121
311,20231228
312,20231218
313,20230103
314,20230130
315,20230213
316,20230216
317,20230306
318,20230315
319,20230403
320,20230410
321,20230530
322,20230517
323,20230630
324,20230615
325,20230727
326,20230710
327,20230803
328,20230831
329,20230906
330,20230912
331,20231005
332,20231020
333,20231129
334,20231121
335,20231228
336,20231218
337,20230103
338,20230130
339,20230213
340,20230216
341,20230306
342,20230315
343,20230403
344,20230410
345,20230530
346,20230517
347,20230630
348,20230615
349,20230727
350,20230710
351,20230803
352,20230831
353,20230906
354,20230912
355,20231005
356,20231020
357,20231129
358,20231121
359,20231228
360,20231218
361,20230103
362,20230130
363,20230213
364,20230216
365,20230306
366,20230315
367,20230403
368,20230410
369,20230530
370,20230517
371,20230630
372,20230615
373,20230727
374,20230710
375,20230803
376,20230831
377,20230906
378,20230912
379,20231005
380,20231020
381,20231129
382,20231121
383,20231228
384,20231218
385,20230103
386,20230130
387,20230213
388,20230216
389,20230306
390,20230315
391,20230403
392,20230410
393,20230530
394,20230517
395,20230630
396,20230615
397,20230727
398,20230710
399,20230803
400,20230831
401,20230906
402,20230912
403,20231005
404,20231020
405,20231129
406,20231121
407,20231228
408,20231218
409,20230103
410,20230130
411,20230213
412,20230216
413,20230306
414,20230315
415,20230403
416,20230410
417,20230530
418,20230517
419,20230630
420,20230615
421,20230727
422,20230710
423,20230803
424,20230831
425,20230906
426,20230912
427,20231005
428,20231020
429,20231129
430,20231121
431,20231228
432,20231218
433,20230103
434,20230130
435,20230213
436,20230216
437,20230306
438,20230315
439,20230403
440,20230410
441,20230530
442,20230517
443,20230630
444,20230615
445,20230727
446,20230710
447,20230803
448,20230831
449,20230906
450,20230912
451,20231005
452,20231020
453,20231129
454,20231121
455,20231228
456,20231218
457,20230103
458,20230130
459,20230213
460,20230216
461,20230306
462,20230315
463,20230403
464,20230410
465,20230530
466,20230517
467,20230630
468,20230615
469,20230727
470,20230710
471,20230803
472,20230831
473,20230906
474,20230912
475,20231005
476,20231020
477,20231129
478,20231121
479,20231228
480,20231218
481,20230103
482,20230130
483,20230213
484,20230216
485,20230306
486,20230315
487,20230403
488,20230410
489,20230530
490,20230517
491,20230630
492,20230615
493,20230727
494,20230710
495,20230803
496,20230831
497,20230906
498,20230912
499,20231005
500,20231020
501,20231129
502,20231121
503,20231228
504,20231218
505,20230103
506,20230130
507,20230213
508,20230216
509,20230306
510,20230315
511,20230403
512,20230410
513,20230530
514,20230517
515,20230630
516,20230615
517,20230727
518,20230710
519,20230803
520,20230831
521,20230906
522,20230912
523,20231005
524,20231020
525,20231129
526,20231121
527,20231228
528,20231218
529,20230103
530,20230130
531,20230213
532,20230216
533,20230306
534,20230315
535,20230403
536,20230410
537,20230530
538,20230517
539,20230630
540,20230615
541,20230727
542,20230710
543,20230803
544,20230831
545,20230906
546,20230912
547,20231005
548,20231020
549,20231129
550,20231121
551,20231228
552,20231218
553,20230103
554,20230130
555,20230213
556,20230216
557,20230306
558,20230315
559,20230403
560,20230410
561,20230530
562,20230517
563,20230630
564,20230615
565,20230727
566,20230710
567,20230803
568,20230831
569,20230906
570,20230912
571,20231005
572,20231020
573,20231129
574,20231121
575,20231228
576,20231218
