GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_amortization_period,gen_can_retire_early,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_load_fraction,gen_ramp_limit_up,gen_ramp_limit_down,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,state
BASN_id_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,BASN,60.0,.,0,False,False,7.053,4.551,0.0,BASN_id_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,ID
BASN_nv_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,BASN,60.0,.,0,False,False,7.765,3.774,0.0,BASN_nv_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,NV
BASN_ut_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,BASN,60.0,.,0,False,False,7.451,3.636,0.0,BASN_ut_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,UT
BASN_id_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,10.941,6.8,0.0,BASN_id_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,ID
BASN_id_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,12.007,6.8,0.0,BASN_id_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,ID
BASN_nv_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,11.69,6.8,0.0,BASN_nv_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,NV
BASN_nv_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,13.227,6.8,0.0,BASN_nv_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,NV
BASN_ut_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,11.084,6.8,0.0,BASN_ut_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,UT
BASN_ut_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50.0,.,0,False,False,13.13,6.8,0.0,BASN_ut_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,UT
BASN_nv_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,BASN,60.0,.,0,False,False,8.759,5.805,0.0,BASN_nv_natural_gas_internal_combustion_engine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,37.624,False,.,.,1,.,.,.,.,Naturalgas,NV
BASN_ut_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,BASN,60.0,.,0,False,False,10.552,6.994,0.0,BASN_ut_natural_gas_internal_combustion_engine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,37.624,False,.,.,1,.,.,.,.,Naturalgas,UT
BASN_id_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,BASN,50.0,.,0,False,False,9.21,1.056,0.0,BASN_id_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,ID
BASN_nv_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,BASN,50.0,.,0,False,False,12.339,1.056,0.0,BASN_nv_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,NV
BASN_ut_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,BASN,50.0,.,0,False,False,18.793,1.056,0.0,BASN_ut_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,UT
CANO_ca_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,CANO,60.0,.,0,False,False,8.626,4.551,0.0,CANO_ca_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,CA
CANO_ca_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,Naturalgas,CANO,60.0,.,0,False,False,7.419,3.598,0.0,CANO_ca_natural_gas_fired_combined_cycle_2,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,CA
CANO_ca_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,CANO,50.0,.,0,False,False,10.765,6.8,0.0,CANO_ca_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,CA
CANO_ca_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,CANO,50.0,.,0,False,False,10.916,6.8,0.0,CANO_ca_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,CA
CANO_ca_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,CANO,60.0,.,0,False,False,9.016,5.976,0.0,CANO_ca_natural_gas_internal_combustion_engine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,37.624,False,.,.,1,.,.,.,.,Naturalgas,CA
CANO_ca_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,CANO,50.0,.,0,False,False,9.21,1.056,0.0,CANO_ca_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,CASO,60.0,.,0,False,False,9.663,4.551,0.0,CASO_ca_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,Naturalgas,CASO,60.0,.,0,False,False,7.419,3.603,0.0,CASO_ca_natural_gas_fired_combined_cycle_2,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,CASO,50.0,.,0,False,False,10.966,6.8,0.0,CASO_ca_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,CASO,50.0,.,0,False,False,10.789,6.8,0.0,CASO_ca_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,CASO,60.0,.,0,False,False,8.627,5.718,0.0,CASO_ca_natural_gas_internal_combustion_engine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,37.624,False,.,.,1,.,.,.,.,Naturalgas,CA
CASO_ca_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,CASO,50.0,.,0,False,False,15.267,1.056,0.0,CASO_ca_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,CA
FRCC_fl_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,FRCC,60.0,.,0,False,False,7.117,3.564,0.0,FRCC_fl_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,FL
FRCC_fl_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,Naturalgas,FRCC,60.0,.,0,False,False,7.935,4.551,0.0,FRCC_fl_natural_gas_fired_combined_cycle_2,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,FL
FRCC_fl_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,FRCC,50.0,.,0,False,False,10.957,6.8,0.0,FRCC_fl_natural_gas_fired_combustion_turbine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,FL
FRCC_fl_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,Naturalgas,FRCC,50.0,.,0,False,False,14.021,6.8,0.0,FRCC_fl_natural_gas_fired_combustion_turbine_2,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,119.396,False,.,.,1,.,.,.,.,Naturalgas,FL
FRCC_fl_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,FRCC,60.0,.,0,False,False,8.346,5.531,0.0,FRCC_fl_natural_gas_internal_combustion_engine_1,0.0,0.0,.,0.0,1.0,1.0,1.0,1.0,37.624,False,.,.,1,.,.,.,.,Naturalgas,FL
FRCC_fl_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,FRCC,50.0,.,0,False,False,11.859,1.056,0.0,FRCC_fl_natural_gas_steam_turbine_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,87.479,False,.,.,1,.,.,.,.,Naturalgas,FL
ISNE_ct_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,ISNE,60.0,.,0,False,False,9.599,4.551,0.0,ISNE_ct_natural_gas_fired_combined_cycle_1,0.0,0.0,.,0.0,1.0,1.0,6.0,6.0,92.081,False,.,.,1,.,.,.,.,Naturalgas,CT
