timeseries,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20230103,2023,1,24.0,1.0
20230130,2023,1,24.0,29.4167
20230213,2023,1,24.0,1.0
20230216,2023,1,24.0,29.4167
20230306,2023,1,24.0,1.0
20230315,2023,1,24.0,29.4167
20230403,2023,1,24.0,1.0
20230410,2023,1,24.0,29.4167
20230530,2023,1,24.0,1.0
20230517,2023,1,24.0,29.4167
20230630,2023,1,24.0,1.0
20230615,2023,1,24.0,29.4167
20230727,2023,1,24.0,1.0
20230710,2023,1,24.0,29.4167
20230803,2023,1,24.0,1.0
20230831,2023,1,24.0,29.4167
20230906,2023,1,24.0,1.0
20230912,2023,1,24.0,29.4167
20231005,2023,1,24.0,1.0
20231020,2023,1,24.0,29.4167
20231129,2023,1,24.0,1.0
20231121,2023,1,24.0,29.4167
20231228,2023,1,24.0,1.0
20231218,2023,1,24.0,29.4167
