TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
13-6,2023,10488.0
13-16,2023,1960.0
13-9,2023,6400.0
15-12,2023,2510.0
15-16,2023,7770.0
15-11,2023,1320.0
15-14,2023,2400.0
7-6,2023,400.0
7-16,2023,5324.0
7-9,2023,400.0
5-12,2023,2800.0
5-11,2023,1520.0
6-18,2023,2860.0
6-16,2023,10882.0
6-22,2023,7490.0
6-20,2023,2344.0
6-8,2023,2078.0
6-19,2023,400.0
6-9,2023,3310.0
2-1,2023,400.0
2-3,2023,7350.0
2-10,2023,7350.0
26-25,2023,33058.0
26-20,2023,440.0
18-20,2023,6744.0
18-8,2023,400.0
18-19,2023,2866.0
18-9,2023,400.0
4-23,2023,7200.0
25-20,2023,1200.0
21-16,2023,2438.0
21-22,2023,432.0
21-14,2023,2000.0
21-23,2023,2800.0
12-11,2023,4978.0
16-22,2023,6666.0
16-14,2023,13860.0
1-17,2023,7500.0
1-3,2023,11840.0
1-10,2023,6700.0
1-24,2023,10770.0
22-8,2023,8184.0
22-23,2023,6392.0
20-8,2023,3394.0
20-24,2023,2020.0
20-19,2023,400.0
17-10,2023,800.0
17-24,2023,1228.0
8-23,2023,1782.0
3-10,2023,5716.0
3-24,2023,8708.0
19-9,2023,11024.0
10-19,2023,400.0
10-9,2023,400.0
17-19,2023,820.0
17-18,2023,420.0
24-25,2023,400.0
