TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
13-6,2023,52440.0
13-16,2023,10000.0
13-9,2023,32000.0
15-12,2023,12550.0
15-16,2023,38850.0
15-11,2023,10000.0
15-14,2023,12000.0
7-6,2023,10000.0
7-16,2023,26620.0
7-9,2023,10000.0
5-12,2023,14000.0
5-11,2023,10000.0
6-18,2023,14300.0
6-16,2023,54410.0
6-22,2023,37450.0
6-20,2023,11720.0
6-8,2023,10390.0
6-19,2023,10000.0
6-9,2023,16550.0
2-1,2023,10000.0
2-3,2023,36750.0
2-10,2023,36750.0
26-25,2023,165290.0
26-20,2023,10000.0
18-20,2023,33720.0
18-8,2023,10000.0
18-19,2023,14330.0
18-9,2023,10000.0
4-23,2023,36000.0
25-20,2023,10000.0
21-16,2023,12190.0
21-22,2023,10000.0
21-14,2023,10000.0
21-23,2023,14000.0
12-11,2023,24890.0
16-22,2023,33330.0
16-14,2023,69300.0
1-17,2023,37500.0
1-3,2023,59200.0
1-10,2023,33500.0
1-24,2023,53850.0
22-8,2023,40920.0
22-23,2023,31960.0
20-8,2023,16970.0
20-24,2023,10100.0
20-19,2023,10000.0
17-10,2023,10000.0
17-24,2023,10000.0
8-23,2023,10000.0
3-10,2023,28580.0
3-24,2023,43540.0
19-9,2023,55120.0
10-19,2023,10000.0
10-9,2023,10000.0
17-19,2023,10000.0
17-18,2023,10000.0
24-25,2023,10000.0
