TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
13-6,PJMC,MISC,626.2046712,0.953351612,5244,1,0.95,5.246958297,0
13-16,PJMC,PJMW,484.9526117,0.926394747,980,2,0.95,6.856557394,0
13-9,PJMC,MISW,577.3769837,0.944333709,3200,3,0.95,6.86029566,0
15-12,PJME,NYUP,316.6163603,0.917462331,1255,4,0.95,13.21091199,0
15-16,PJME,PJMW,482.9870637,0.91544599,3885,5,0.95,10.05189456,0
15-11,PJME,NYCW,81.02077939,0.972005581,660,6,0.95,67.76958401,0
15-14,PJME,PJMD,139.264334,0.951868172,1200,7,0.95,16.53268524,0
6-Jul,MISE,MISC,993.3851724,0.925996667,0,8,0.95,5.415769042,0
16-Jul,MISE,PJMW,672.2944948,0.912433921,2662,9,0.95,6.946882979,0
9-Jul,MISE,MISW,1338.089537,0.909549871,0,10,0.95,6.083517005,0
12-May,ISNE,NYUP,422.4133412,0.880879323,1400,11,0.95,13.30300965,0
11-May,ISNE,NYCW,208.7631968,0.927851018,760,12,0.95,54.25909501,0
18-Jun,MISC,SPPC,696.0754685,0.948150094,1430,13,0.95,5.421294671,0
16-Jun,MISC,PJMW,636.7767279,0.880821679,5441,14,0.95,7.277204654,0
22-Jun,MISC,SRCE,807.578846,0.899431405,3745,15,0.95,6.513265454,0
20-Jun,MISC,SPPS,1164.300432,0.92712674,1172,16,0.95,4.515111199,0
8-Jun,MISC,MISS,1432.231366,0.911854678,1039,17,0.95,4.197765987,0
19-Jun,MISC,SPPN,919.2234842,0.941093172,0,18,0.95,5.121155188,0
9-Jun,MISC,MISW,1370.498177,0.897909465,1655,19,0.95,5.77111821,0
1-Feb,CANO,BASN,1613.384713,0.876604861,100,20,0.95,5.566794076,0
3-Feb,CANO,CASO,678.4965251,0.929705712,3675,21,0.95,8.02532433,0
10-Feb,CANO,NWPP,1302.611066,0.901279622,3675,22,0.95,5.795585979,0
26-25,TREW,TRE,694.9819647,0.943376254,16529,23,0.95,5.478432489,0
26-20,TREW,SPPS,594.5912332,0.966111254,220,24,0.95,4.466269846,0
18-20,SPPC,SPPS,455.0277413,0.966100436,3372,25,0.95,5.356882308,0
18-8,SPPC,MISS,1264.309794,0.927934341,0,26,0.95,3.563240425,0
18-19,SPPC,SPPN,261.1934342,0.98054109,1433,27,0.95,5.488382035,0
18-9,SPPC,MISW,1195.02931,0.922599332,0,28,0.95,5.279574945,0
23-Apr,FRCC,SRSE,930.7057767,0.922862516,3600,29,0.95,6.667558047,0
25-20,TRE,SPPS,501.3042951,0.957805241,600,30,0.95,5.931888362,0
21-16,SRCA,PJMW,900.2912298,0.857985267,1219,31,0.95,7.512010301,0
21-22,SRCA,SRCE,1047.313911,0.884497427,216,32,0.95,6.95214745,0
21-14,SRCA,PJMD,525.2547916,0.888607367,1000,33,0.95,8.724901632,0
21-23,SRCA,SRSE,750.9564569,0.896331374,1400,34,0.95,8.236328297,0
11-Dec,NYUP,NYCW,319.0323955,0.916637335,2489,35,0.95,26.87543585,0
16-22,PJMW,SRCE,542.9402245,0.889923572,3333,36,0.95,8.825600034,0
16-14,PJMW,PJMD,493.7545178,0.901200227,6930,37,0.95,9.769443041,0
17-Jan,BASN,RMRG,1478.96874,0.904251241,3750,38,0.95,5.097268486,0
3-Jan,BASN,CASO,1052.8154,0.910639518,5920,39,0.95,6.616056536,0
10-Jan,BASN,NWPP,2143.682033,0.861875714,3350,40,0.95,5.137126111,0
24-Jan,BASN,SRSG,1196.885695,0.872928197,5385,41,0.95,6.652064456,0
22-8,SRCE,MISS,910.574012,0.943088939,4092,42,0.95,5.309539832,0
22-23,SRCE,SRSE,808.9930595,0.939731922,3196,43,0.95,6.890603662,0
20-8,SPPS,MISS,1083.440259,0.938246861,1697,44,0.95,3.714917517,0
20-24,SPPS,SRSG,1530.651154,0.872400306,1010,45,0.95,3.722553219,0
20-19,SPPS,SPPN,679.4249276,0.961272779,0,46,0.95,4.34174278,0
17-10,RMRG,NWPP,256.3931816,0.868119729,400,47,0.95,34.25780962,0
17-24,RMRG,SRSG,1451.938996,0.876886892,614,48,0.95,3.945998645,0
23-Aug,MISS,SRSE,825.7437764,0.948345616,891,49,0.95,6.169885991,0
10-Mar,CASO,NWPP,1859.12101,0.877907911,2858,50,0.95,4.747397428,0
24-Mar,CASO,SRSG,670.4280089,0.909797706,4354,51,0.95,7.23477468,0
19-9,SPPN,MISW,1014.148628,0.93290953,5512,52,0.95,5.741979156,0
19-Oct,NWPP,SPPN,2877.936127,0.831470774,0,53,0.95,3.525181813,0
9-Oct,NWPP,MISW,14040.70052,0.775865078,200,54,0.95,1,0
17-19,RMRG,SPPN,780.5713742,0.95550743,410,55,0.95,3.969734871,0
17-18,RMRG,SPPC,936.6269837,0.946612264,210,56,0.95,3.707759656,0
24-25,SRSG,TRE,1692.236672,0.854443287,0,57,0.95,4.102340833,0
