WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1_inlet,BASN_conventional_hydroelectric_1_outlet,2539.3716
CANO_conventional_hydroelectric_1,CANO_conventional_hydroelectric_1_inlet,CANO_conventional_hydroelectric_1_outlet,7472.4792
CASO_conventional_hydroelectric_1,CASO_conventional_hydroelectric_1_inlet,CASO_conventional_hydroelectric_1_outlet,1042.44
FRCC_conventional_hydroelectric_1,FRCC_conventional_hydroelectric_1_inlet,FRCC_conventional_hydroelectric_1_outlet,44.37
ISNE_conventional_hydroelectric_1,ISNE_conventional_hydroelectric_1_inlet,ISNE_conventional_hydroelectric_1_outlet,946.75176
MISC_conventional_hydroelectric_1,MISC_conventional_hydroelectric_1_inlet,MISC_conventional_hydroelectric_1_outlet,460.53306000000003
MISE_conventional_hydroelectric_1,MISE_conventional_hydroelectric_1_inlet,MISE_conventional_hydroelectric_1_outlet,32.946
MISS_conventional_hydroelectric_1,MISS_conventional_hydroelectric_1_inlet,MISS_conventional_hydroelectric_1_outlet,594.75384
MISW_conventional_hydroelectric_1,MISW_conventional_hydroelectric_1_inlet,MISW_conventional_hydroelectric_1_outlet,101.18400000000001
NWPP_conventional_hydroelectric_1,NWPP_conventional_hydroelectric_1_inlet,NWPP_conventional_hydroelectric_1_outlet,32581.362240000002
NYUP_conventional_hydroelectric_1,NYUP_conventional_hydroelectric_1_inlet,NYUP_conventional_hydroelectric_1_outlet,3611.4017999999996
PJMC_conventional_hydroelectric_1,PJMC_conventional_hydroelectric_1_inlet,PJMC_conventional_hydroelectric_1_outlet,11.42604
PJMD_conventional_hydroelectric_1,PJMD_conventional_hydroelectric_1_inlet,PJMD_conventional_hydroelectric_1_outlet,625.3620000000001
PJME_conventional_hydroelectric_1,PJME_conventional_hydroelectric_1_inlet,PJME_conventional_hydroelectric_1_outlet,1238.19228
PJMW_conventional_hydroelectric_1,PJMW_conventional_hydroelectric_1_inlet,PJMW_conventional_hydroelectric_1_outlet,902.496
RMRG_conventional_hydroelectric_1,RMRG_conventional_hydroelectric_1_inlet,RMRG_conventional_hydroelectric_1_outlet,722.98824
SPPC_conventional_hydroelectric_1,SPPC_conventional_hydroelectric_1_inlet,SPPC_conventional_hydroelectric_1_outlet,53.04
SPPN_conventional_hydroelectric_1,SPPN_conventional_hydroelectric_1_inlet,SPPN_conventional_hydroelectric_1_outlet,2560.2
SPPS_conventional_hydroelectric_1,SPPS_conventional_hydroelectric_1_inlet,SPPS_conventional_hydroelectric_1_outlet,2048.5476
SRCA_conventional_hydroelectric_1,SRCA_conventional_hydroelectric_1_inlet,SRCA_conventional_hydroelectric_1_outlet,1807.86432
SRCE_conventional_hydroelectric_1,SRCE_conventional_hydroelectric_1_inlet,SRCE_conventional_hydroelectric_1_outlet,5041.68966
SRSE_conventional_hydroelectric_1,SRSE_conventional_hydroelectric_1_inlet,SRSE_conventional_hydroelectric_1_outlet,3875.184
SRSG_conventional_hydroelectric_1,SRSG_conventional_hydroelectric_1_inlet,SRSG_conventional_hydroelectric_1_outlet,2820.80796
TRE_conventional_hydroelectric_1,TRE_conventional_hydroelectric_1_inlet,TRE_conventional_hydroelectric_1_outlet,492.6702
