WATER_NODES,wn_is_sink,wnode_constant_consumption,wnode_constant_inflow
BASN_conventional_hydroelectric_1_inlet,0,0,0
CANO_conventional_hydroelectric_1_inlet,0,0,0
CASO_conventional_hydroelectric_1_inlet,0,0,0
FRCC_conventional_hydroelectric_1_inlet,0,0,0
ISNE_conventional_hydroelectric_1_inlet,0,0,0
MISC_conventional_hydroelectric_1_inlet,0,0,0
MISE_conventional_hydroelectric_1_inlet,0,0,0
MISS_conventional_hydroelectric_1_inlet,0,0,0
MISW_conventional_hydroelectric_1_inlet,0,0,0
NWPP_conventional_hydroelectric_1_inlet,0,0,0
NYUP_conventional_hydroelectric_1_inlet,0,0,0
PJMC_conventional_hydroelectric_1_inlet,0,0,0
PJMD_conventional_hydroelectric_1_inlet,0,0,0
PJME_conventional_hydroelectric_1_inlet,0,0,0
PJMW_conventional_hydroelectric_1_inlet,0,0,0
RMRG_conventional_hydroelectric_1_inlet,0,0,0
SPPC_conventional_hydroelectric_1_inlet,0,0,0
SPPN_conventional_hydroelectric_1_inlet,0,0,0
SPPS_conventional_hydroelectric_1_inlet,0,0,0
SRCA_conventional_hydroelectric_1_inlet,0,0,0
SRCE_conventional_hydroelectric_1_inlet,0,0,0
SRSE_conventional_hydroelectric_1_inlet,0,0,0
SRSG_conventional_hydroelectric_1_inlet,0,0,0
TRE_conventional_hydroelectric_1_inlet,0,0,0
BASN_conventional_hydroelectric_1_outlet,1,0,0
CANO_conventional_hydroelectric_1_outlet,1,0,0
CASO_conventional_hydroelectric_1_outlet,1,0,0
FRCC_conventional_hydroelectric_1_outlet,1,0,0
ISNE_conventional_hydroelectric_1_outlet,1,0,0
MISC_conventional_hydroelectric_1_outlet,1,0,0
MISE_conventional_hydroelectric_1_outlet,1,0,0
MISS_conventional_hydroelectric_1_outlet,1,0,0
MISW_conventional_hydroelectric_1_outlet,1,0,0
NWPP_conventional_hydroelectric_1_outlet,1,0,0
NYUP_conventional_hydroelectric_1_outlet,1,0,0
PJMC_conventional_hydroelectric_1_outlet,1,0,0
PJMD_conventional_hydroelectric_1_outlet,1,0,0
PJME_conventional_hydroelectric_1_outlet,1,0,0
PJMW_conventional_hydroelectric_1_outlet,1,0,0
RMRG_conventional_hydroelectric_1_outlet,1,0,0
SPPC_conventional_hydroelectric_1_outlet,1,0,0
SPPN_conventional_hydroelectric_1_outlet,1,0,0
SPPS_conventional_hydroelectric_1_outlet,1,0,0
SRCA_conventional_hydroelectric_1_outlet,1,0,0
SRCE_conventional_hydroelectric_1_outlet,1,0,0
SRSE_conventional_hydroelectric_1_outlet,1,0,0
SRSG_conventional_hydroelectric_1_outlet,1,0,0
TRE_conventional_hydroelectric_1_outlet,1,0,0
