BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
BASN_small_hydroelectric_1,2023,202.11840000000004
CANO_small_hydroelectric_1,2023,239.99280000000005
CASO_small_hydroelectric_1,2023,73.58820000000001
ISNE_small_hydroelectric_1,2023,305.78940000000006
MISC_small_hydroelectric_1,2023,20.512800000000002
MISE_small_hydroelectric_1,2023,18.376199999999997
MISS_small_hydroelectric_1,2023,3.1122000000000027
MISW_small_hydroelectric_1,2023,531.0999999999999
NWPP_small_hydroelectric_1,2023,463.90119999999985
NYUP_small_hydroelectric_1,2023,522.4621000000002
PJMC_small_hydroelectric_1,2023,10.676599999999999
PJMD_small_hydroelectric_1,2023,4.553699999999999
PJME_small_hydroelectric_1,2023,77.9625
PJMW_small_hydroelectric_1,2023,181.0776
RMRG_small_hydroelectric_1,2023,105.1056
SPPC_small_hydroelectric_1,2023,21.4
SPPN_small_hydroelectric_1,2023,62.06100000000001
SPPS_small_hydroelectric_1,2023,39.24660000000001
SRCA_small_hydroelectric_1,2023,35.76
SRCE_small_hydroelectric_1,2023,45.86560000000001
SRSE_small_hydroelectric_1,2023,27.318000000000005
SRSG_small_hydroelectric_1,2023,82.0056
TRE_small_hydroelectric_1,2023,21.6546
