GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
KS,MO,20230103,5116558.0
KS,MO,20230130,3740773.793139281
KS,MO,20230213,5116558.0
KS,MO,20230216,4714800.373609908
KS,MO,20230306,536946.2922827508
KS,MO,20230315,0.0
KS,MO,20230403,3368074.3194411616
KS,MO,20230410,3288910.0172948185
KS,MO,20230530,5116558.0
KS,MO,20230517,4480812.38437227
KS,MO,20230630,5116558.0
KS,MO,20230615,5116558.0
KS,MO,20230727,0.0
KS,MO,20230710,0.0
KS,MO,20230803,0.0
KS,MO,20230831,0.0
KS,MO,20230906,1019997.8360387424
KS,MO,20230912,1181663.564648008
KS,MO,20231005,1320970.2825848972
KS,MO,20231020,1333190.1348444577
KS,MO,20231129,2091159.5925843497
KS,MO,20231121,1467888.0392107065
KS,MO,20231228,1778142.3209089045
KS,MO,20231218,402827.6329205106
WI,MN,20230103,0.0
WI,MN,20230130,0.0
WI,MN,20230213,0.0
WI,MN,20230216,0.0
WI,MN,20230306,0.0
WI,MN,20230315,0.0
WI,MN,20230403,0.0
WI,MN,20230410,0.0
WI,MN,20230530,0.0
WI,MN,20230517,0.0
WI,MN,20230630,0.0
WI,MN,20230615,0.0
WI,MN,20230727,0.0
WI,MN,20230710,0.0
WI,MN,20230803,0.0
WI,MN,20230831,0.0
WI,MN,20230906,0.0
WI,MN,20230912,0.0
WI,MN,20231005,0.0
WI,MN,20231020,0.0
WI,MN,20231129,0.0
WI,MN,20231121,0.0
WI,MN,20231228,0.0
WI,MN,20231218,0.0
NJ,DE,20230103,0.0
NJ,DE,20230130,0.0
NJ,DE,20230213,0.0
NJ,DE,20230216,0.0
NJ,DE,20230306,0.0
NJ,DE,20230315,0.0
NJ,DE,20230403,0.0
NJ,DE,20230410,0.0
NJ,DE,20230530,0.0
NJ,DE,20230517,0.0
NJ,DE,20230630,0.0
NJ,DE,20230615,0.0
NJ,DE,20230727,0.0
NJ,DE,20230710,0.0
NJ,DE,20230803,0.0
NJ,DE,20230831,0.0
