GZ_STORAGE_TYPE_TIMESERIES_1,GZ_STORAGE_TYPE_TIMESERIES_2,GZ_STORAGE_TYPE_TIMESERIES_3,GasStorageQuantity
AL,aquifer,20230103,0.0
AL,aquifer,20230130,0.0
AL,aquifer,20230213,0.0
AL,aquifer,20230216,0.0
AL,aquifer,20230306,0.0
AL,aquifer,20230315,0.0
AL,aquifer,20230403,0.0
AL,aquifer,20230410,0.0
AL,aquifer,20230530,0.0
AL,aquifer,20230517,0.0
AL,aquifer,20230630,0.0
AL,aquifer,20230615,0.0
AL,aquifer,20230727,0.0
AL,aquifer,20230710,0.0
AL,aquifer,20230803,0.0
AL,aquifer,20230831,0.0
AL,aquifer,20230906,0.0
AL,aquifer,20230912,0.0
AL,aquifer,20231005,0.0
AL,aquifer,20231020,0.0
AL,aquifer,20231129,0.0
AL,aquifer,20231121,0.0
AL,aquifer,20231228,0.0
AL,aquifer,20231218,0.0
AL,depleted field,20230103,0.0
AL,depleted field,20230130,0.0
AL,depleted field,20230213,0.0
AL,depleted field,20230216,0.0
AL,depleted field,20230306,0.0
AL,depleted field,20230315,0.0
AL,depleted field,20230403,0.0
AL,depleted field,20230410,0.0
AL,depleted field,20230530,579713.1449662689
AL,depleted field,20230517,11614400.000000002
AL,depleted field,20230630,11614400.000000002
AL,depleted field,20230615,11614400.000000002
AL,depleted field,20230727,11614400.000000002
AL,depleted field,20230710,11614400.000000002
AL,depleted field,20230803,11614400.000000002
AL,depleted field,20230831,11614400.000000002
AL,depleted field,20230906,11614400.000000002
AL,depleted field,20230912,11614400.000000002
AL,depleted field,20231005,11614400.000000002
AL,depleted field,20231020,11614400.000000002
AL,depleted field,20231129,11614400.000000002
AL,depleted field,20231121,0.0
AL,depleted field,20231228,0.0
AL,depleted field,20231218,0.0
AL,salt cavern,20230103,0.0
AL,salt cavern,20230130,0.0
AL,salt cavern,20230213,0.0
AL,salt cavern,20230216,0.0
AL,salt cavern,20230306,0.0
AL,salt cavern,20230315,0.0
AL,salt cavern,20230403,0.0
AL,salt cavern,20230410,0.0
AL,salt cavern,20230530,0.0
AL,salt cavern,20230517,6216295.064541012
AL,salt cavern,20230630,6216295.064541012
AL,salt cavern,20230615,22762150.0
AL,salt cavern,20230727,22762150.0
AL,salt cavern,20230710,22762150.0
AL,salt cavern,20230803,22762150.0
AL,salt cavern,20230831,22762150.0
AL,salt cavern,20230906,22762150.0
AL,salt cavern,20230912,22762150.0
AL,salt cavern,20231005,21385065.25592809
AL,salt cavern,20231020,9569303.852432344
AL,salt cavern,20231129,4825057.714106917
AL,salt cavern,20231121,0.0
AL,salt cavern,20231228,0.0
AL,salt cavern,20231218,0.0
AR,aquifer,20230103,0.0
AR,aquifer,20230130,0.0
AR,aquifer,20230213,0.0
AR,aquifer,20230216,0.0
AR,aquifer,20230306,0.0
AR,aquifer,20230315,0.0
AR,aquifer,20230403,0.0
AR,aquifer,20230410,0.0
AR,aquifer,20230530,0.0
AR,aquifer,20230517,0.0
AR,aquifer,20230630,0.0
AR,aquifer,20230615,0.0
AR,aquifer,20230727,0.0
AR,aquifer,20230710,0.0
AR,aquifer,20230803,0.0
AR,aquifer,20230831,0.0
AR,aquifer,20230906,0.0
AR,aquifer,20230912,0.0
AR,aquifer,20231005,0.0
AR,aquifer,20231020,0.0
AR,aquifer,20231129,0.0
AR,aquifer,20231121,0.0
AR,aquifer,20231228,0.0
AR,aquifer,20231218,0.0
AR,depleted field,20230103,0.0
AR,depleted field,20230130,0.0
AR,depleted field,20230213,0.0
AR,depleted field,20230216,0.0
AR,depleted field,20230306,0.0
AR,depleted field,20230315,0.0
AR,depleted field,20230403,0.0
AR,depleted field,20230410,0.0
AR,depleted field,20230530,0.0
AR,depleted field,20230517,0.0
AR,depleted field,20230630,0.0
AR,depleted field,20230615,0.0
AR,depleted field,20230727,1215399.856130816
AR,depleted field,20230710,3663018.4287679708
AR,depleted field,20230803,4669209.950712749
AR,depleted field,20230831,9223078.000000006
AR,depleted field,20230906,9223078.000000006
AR,depleted field,20230912,9223078.000000006
AR,depleted field,20231005,9223078.000000006
AR,depleted field,20231020,0.0
AR,depleted field,20231129,0.0
AR,depleted field,20231121,0.0
AR,depleted field,20231228,0.0
AR,depleted field,20231218,0.0
AR,salt cavern,20230103,0.0
AR,salt cavern,20230130,0.0
AR,salt cavern,20230213,0.0
AR,salt cavern,20230216,0.0
AR,salt cavern,20230306,0.0
AR,salt cavern,20230315,0.0
AR,salt cavern,20230403,0.0
AR,salt cavern,20230410,0.0
AR,salt cavern,20230530,0.0
AR,salt cavern,20230517,0.0
AR,salt cavern,20230630,0.0
AR,salt cavern,20230615,0.0
AR,salt cavern,20230727,0.0
AR,salt cavern,20230710,0.0
AR,salt cavern,20230803,0.0
AR,salt cavern,20230831,0.0
AR,salt cavern,20230906,0.0
AR,salt cavern,20230912,0.0
AR,salt cavern,20231005,0.0
AR,salt cavern,20231020,0.0
AR,salt cavern,20231129,0.0
AR,salt cavern,20231121,0.0
AR,salt cavern,20231228,0.0
AR,salt cavern,20231218,0.0
AZ,aquifer,20230103,0.0
AZ,aquifer,20230130,0.0
AZ,aquifer,20230213,0.0
AZ,aquifer,20230216,0.0
AZ,aquifer,20230306,0.0
AZ,aquifer,20230315,0.0
AZ,aquifer,20230403,0.0
AZ,aquifer,20230410,0.0
AZ,aquifer,20230530,0.0
AZ,aquifer,20230517,0.0
AZ,aquifer,20230630,0.0
AZ,aquifer,20230615,0.0
AZ,aquifer,20230727,0.0
AZ,aquifer,20230710,0.0
AZ,aquifer,20230803,0.0
AZ,aquifer,20230831,0.0
AZ,aquifer,20230906,0.0
AZ,aquifer,20230912,0.0
AZ,aquifer,20231005,0.0
AZ,aquifer,20231020,0.0
AZ,aquifer,20231129,0.0
AZ,aquifer,20231121,0.0
AZ,aquifer,20231228,0.0
AZ,aquifer,20231218,0.0
AZ,depleted field,20230103,0.0
AZ,depleted field,20230130,0.0
AZ,depleted field,20230213,0.0
AZ,depleted field,20230216,0.0
AZ,depleted field,20230306,0.0
AZ,depleted field,20230315,0.0
AZ,depleted field,20230403,0.0
AZ,depleted field,20230410,0.0
AZ,depleted field,20230530,0.0
AZ,depleted field,20230517,0.0
AZ,depleted field,20230630,0.0
AZ,depleted field,20230615,0.0
AZ,depleted field,20230727,0.0
AZ,depleted field,20230710,0.0
AZ,depleted field,20230803,0.0
AZ,depleted field,20230831,0.0
AZ,depleted field,20230906,0.0
AZ,depleted field,20230912,0.0
AZ,depleted field,20231005,0.0
AZ,depleted field,20231020,0.0
AZ,depleted field,20231129,0.0
AZ,depleted field,20231121,0.0
AZ,depleted field,20231228,0.0
AZ,depleted field,20231218,0.0
AZ,salt cavern,20230103,0.0
AZ,salt cavern,20230130,0.0
AZ,salt cavern,20230213,0.0
AZ,salt cavern,20230216,0.0
AZ,salt cavern,20230306,0.0
AZ,salt cavern,20230315,0.0
AZ,salt cavern,20230403,0.0
AZ,salt cavern,20230410,0.0
AZ,salt cavern,20230530,0.0
AZ,salt cavern,20230517,0.0
AZ,salt cavern,20230630,0.0
AZ,salt cavern,20230615,0.0
AZ,salt cavern,20230727,0.0
AZ,salt cavern,20230710,0.0
AZ,salt cavern,20230803,0.0
AZ,salt cavern,20230831,0.0
AZ,salt cavern,20230906,0.0
AZ,salt cavern,20230912,0.0
AZ,salt cavern,20231005,0.0
AZ,salt cavern,20231020,0.0
AZ,salt cavern,20231129,0.0
