LNG_ROUTE_TIMESERIES_1,LNG_ROUTE_TIMESERIES_2,LNG_ROUTE_TIMESERIES_3,LNGShipped
MT,WV,20230103,0.0
MT,WV,20230130,0.0
MT,WV,20230213,0.0
MT,WV,20230216,0.0
MT,WV,20230306,0.0
MT,WV,20230315,0.0
MT,WV,20230403,0.0
MT,WV,20230410,0.0
MT,WV,20230530,0.0
MT,WV,20230517,0.0
MT,WV,20230630,0.0
MT,WV,20230615,0.0
MT,WV,20230727,0.0
MT,WV,20230710,0.0
MT,WV,20230803,0.0
MT,WV,20230831,0.0
MT,WV,20230906,0.0
MT,WV,20230912,0.0
MT,WV,20231005,0.0
MT,WV,20231020,0.0
MT,WV,20231129,0.0
MT,WV,20231121,0.0
MT,WV,20231228,0.0
MT,WV,20231218,0.0
TX,IN,20230103,0.0
TX,IN,20230130,0.0
TX,IN,20230213,0.0
TX,IN,20230216,0.0
TX,IN,20230306,0.0
TX,IN,20230315,0.0
TX,IN,20230403,0.0
TX,IN,20230410,0.0
TX,IN,20230530,0.0
TX,IN,20230517,0.0
TX,IN,20230630,0.0
TX,IN,20230615,0.0
TX,IN,20230727,0.0
TX,IN,20230710,0.0
TX,IN,20230803,0.0
TX,IN,20230831,0.0
TX,IN,20230906,0.0
TX,IN,20230912,0.0
TX,IN,20231005,0.0
TX,IN,20231020,0.0
TX,IN,20231129,0.0
TX,IN,20231121,0.0
TX,IN,20231228,0.0
TX,IN,20231218,0.0
MN,DC,20230103,0.0
MN,DC,20230130,0.0
MN,DC,20230213,0.0
MN,DC,20230216,0.0
MN,DC,20230306,0.0
MN,DC,20230315,0.0
MN,DC,20230403,0.0
MN,DC,20230410,0.0
MN,DC,20230530,0.0
MN,DC,20230517,0.0
MN,DC,20230630,0.0
MN,DC,20230615,0.0
MN,DC,20230727,0.0
MN,DC,20230710,0.0
MN,DC,20230803,0.0
MN,DC,20230831,0.0
MN,DC,20230906,0.0
MN,DC,20230912,0.0
MN,DC,20231005,0.0
MN,DC,20231020,0.0
MN,DC,20231129,0.0
MN,DC,20231121,0.0
MN,DC,20231228,0.0
MN,DC,20231218,0.0
NE,FL,20230103,0.0
NE,FL,20230130,0.0
NE,FL,20230213,0.0
NE,FL,20230216,0.0
NE,FL,20230306,0.0
NE,FL,20230315,0.0
NE,FL,20230403,0.0
NE,FL,20230410,0.0
NE,FL,20230530,0.0
NE,FL,20230517,0.0
NE,FL,20230630,0.0
NE,FL,20230615,0.0
NE,FL,20230727,0.0
NE,FL,20230710,0.0
NE,FL,20230803,0.0
NE,FL,20230831,0.0
NE,FL,20230906,0.0
NE,FL,20230912,0.0
NE,FL,20231005,0.0
NE,FL,20231020,0.0
NE,FL,20231129,0.0
NE,FL,20231121,0.0
NE,FL,20231228,0.0
NE,FL,20231218,0.0
KY,AZ,20230103,0.0
KY,AZ,20230130,0.0
KY,AZ,20230213,0.0
KY,AZ,20230216,0.0
KY,AZ,20230306,0.0
KY,AZ,20230315,0.0
KY,AZ,20230403,0.0
KY,AZ,20230410,0.0
KY,AZ,20230530,0.0
KY,AZ,20230517,0.0
KY,AZ,20230630,0.0
KY,AZ,20230615,0.0
KY,AZ,20230727,0.0
KY,AZ,20230710,0.0
KY,AZ,20230803,0.0
KY,AZ,20230831,0.0
KY,AZ,20230906,0.0
KY,AZ,20230912,0.0
KY,AZ,20231005,0.0
KY,AZ,20231020,0.0
KY,AZ,20231129,0.0
KY,AZ,20231121,0.0
KY,AZ,20231228,0.0
KY,AZ,20231218,0.0
MT,NY,20230103,0.0
MT,NY,20230130,0.0
MT,NY,20230213,0.0
MT,NY,20230216,0.0
MT,NY,20230306,0.0
MT,NY,20230315,0.0
MT,NY,20230403,0.0
MT,NY,20230410,0.0
MT,NY,20230530,0.0
MT,NY,20230517,0.0
MT,NY,20230630,0.0
MT,NY,20230615,0.0
MT,NY,20230727,0.0
MT,NY,20230710,0.0
MT,NY,20230803,0.0
MT,NY,20230831,0.0
MT,NY,20230906,0.0
MT,NY,20230912,0.0
MT,NY,20231005,0.0
MT,NY,20231020,0.0
MT,NY,20231129,0.0
MT,NY,20231121,0.0
MT,NY,20231228,0.0
MT,NY,20231218,0.0
KS,VT,20230103,0.0
KS,VT,20230130,0.0
KS,VT,20230213,0.0
KS,VT,20230216,0.0
KS,VT,20230306,0.0
KS,VT,20230315,0.0
KS,VT,20230403,0.0
KS,VT,20230410,0.0
KS,VT,20230530,0.0
KS,VT,20230517,0.0
KS,VT,20230630,0.0
KS,VT,20230615,0.0
KS,VT,20230727,0.0
KS,VT,20230710,0.0
KS,VT,20230803,0.0
KS,VT,20230831,0.0
KS,VT,20230906,0.0
KS,VT,20230912,0.0
KS,VT,20231005,0.0
KS,VT,20231020,0.0
KS,VT,20231129,0.0
KS,VT,20231121,0.0
KS,VT,20231228,0.0
KS,VT,20231218,0.0
MS,KY,20230103,0.0
MS,KY,20230130,0.0
MS,KY,20230213,0.0
MS,KY,20230216,0.0
MS,KY,20230306,0.0
MS,KY,20230315,0.0
MS,KY,20230403,0.0
MS,KY,20230410,0.0
MS,KY,20230530,0.0
MS,KY,20230517,0.0
MS,KY,20230630,0.0
MS,KY,20230615,0.0
MS,KY,20230727,0.0
MS,KY,20230710,0.0
MS,KY,20230803,0.0
MS,KY,20230831,0.0
MS,KY,20230906,0.0
MS,KY,20230912,0.0
MS,KY,20231005,0.0
MS,KY,20231020,0.0
MS,KY,20231129,0.0
MS,KY,20231121,0.0
MS,KY,20231228,0.0
MS,KY,20231218,0.0
CT,MD,20230103,0.0
CT,MD,20230130,0.0
CT,MD,20230213,0.0
CT,MD,20230216,0.0
CT,MD,20230306,0.0
CT,MD,20230315,0.0
CT,MD,20230403,0.0
CT,MD,20230410,0.0
CT,MD,20230530,0.0
CT,MD,20230517,0.0
CT,MD,20230630,0.0
CT,MD,20230615,0.0
CT,MD,20230727,0.0
CT,MD,20230710,0.0
CT,MD,20230803,0.0
CT,MD,20230831,0.0
CT,MD,20230906,0.0
CT,MD,20230912,0.0
CT,MD,20231005,0.0
CT,MD,20231020,0.0
CT,MD,20231129,0.0
CT,MD,20231121,0.0
CT,MD,20231228,0.0
CT,MD,20231218,0.0
ME,NC,20230103,0.0
ME,NC,20230130,0.0
ME,NC,20230213,0.0
ME,NC,20230216,0.0
ME,NC,20230306,0.0
ME,NC,20230315,0.0
ME,NC,20230403,0.0
ME,NC,20230410,0.0
ME,NC,20230530,0.0
ME,NC,20230517,0.0
ME,NC,20230630,0.0
ME,NC,20230615,0.0
ME,NC,20230727,0.0
ME,NC,20230710,0.0
ME,NC,20230803,0.0
ME,NC,20230831,0.0
ME,NC,20230906,0.0
ME,NC,20230912,0.0
ME,NC,20231005,0.0
ME,NC,20231020,0.0
ME,NC,20231129,0.0
ME,NC,20231121,0.0
ME,NC,20231228,0.0
ME,NC,20231218,0.0
MD,CA,20230103,0.0
MD,CA,20230130,0.0
MD,CA,20230213,0.0
MD,CA,20230216,0.0
MD,CA,20230306,0.0
MD,CA,20230315,0.0
MD,CA,20230403,0.0
MD,CA,20230410,0.0
MD,CA,20230530,0.0
MD,CA,20230517,0.0
MD,CA,20230630,0.0
MD,CA,20230615,0.0
MD,CA,20230727,0.0
MD,CA,20230710,0.0
MD,CA,20230803,0.0
MD,CA,20230831,0.0
MD,CA,20230906,0.0
MD,CA,20230912,0.0
MD,CA,20231005,0.0
MD,CA,20231020,0.0
MD,CA,20231129,0.0
MD,CA,20231121,0.0
MD,CA,20231228,0.0
MD,CA,20231218,0.0
NE,CT,20230103,0.0
NE,CT,20230130,0.0
NE,CT,20230213,0.0
NE,CT,20230216,0.0
NE,CT,20230306,0.0
NE,CT,20230315,0.0
NE,CT,20230403,0.0
NE,CT,20230410,0.0
NE,CT,20230530,0.0
NE,CT,20230517,0.0
NE,CT,20230630,0.0
NE,CT,20230615,0.0
NE,CT,20230727,0.0
NE,CT,20230710,0.0
NE,CT,20230803,0.0
NE,CT,20230831,0.0
NE,CT,20230906,0.0
NE,CT,20230912,0.0
NE,CT,20231005,0.0
NE,CT,20231020,0.0
