gas_zone,period,BuildLNGStorageCap,LNG_storage_total_cap,BuildLNGLiquefactionCap,LNGLiquefactionCapacity,BuildLNGVaporizationCap,LNGVaporizationCapacity
AL,2023,0,11658.2,0,1.74922e+07,42474.2,0
AR,2023,0,0,0,920640,0,0
AZ,2023,0,411875,0,2.02675e+07,0,70080
CA,2023,0,22763.5,0,0,0,59520
CO,2023,0,0,0,0,0,0
CT,2023,0,2.01134e+06,0,1.65773e+07,0,160320
DC,2023,0,0,0,0,0,0
DE,2023,0,0,0,1.38048e+06,0,0
FL,2023,0,764150,0,5.36924e+07,0,9600
GA,2023,0,5.91379e+06,0,2.76154e+07,0,2.4048e+06
IA,2023,0,5.6482e+06,0,2.11949e+07,0,360576
ID,2023,0,1.0176e+06,0,3.6864e+06,0,75840
IL,2023,0,0,0,9.2064e+06,0,0
IN,2023,0,8.352e+06,0,2.71824e+07,0,384000
KS,2023,0,0,0,0,0,0
KY,2023,0,0,0,0,0,0
LA,2023,0,1.55657e+07,0,2.67264e+06,0,7.29734e+06
MA,2023,0,373703,0,2.3016e+07,1.95463e+07,220550
MD,2023,0,0,0,5.2944e+06,0,1.728e+06
ME,2023,0,0,0,0,0,0
MI,2023,0,0,0,0,0,0
MN,2023,0,8.80128e+06,0,2.94912e+07,0,602880
MO,2023,0,0,0,0,0,0
MS,2023,0,1.152e+07,0,0,0,1.44e+06
MT,2023,0,7545.6,0,0,0,1920
NC,2023,0,1.34136e+07,0,4.90291e+07,0,1.1712e+06
ND,2023,0,2741.76,0,0,0,3225.6
NE,2023,0,13075.2,0,5.52384e+06,0,11750.4
NH,2023,0,14803.2,22300.9,22300.9,0,13440
NJ,2023,0,4.79693e+06,0,2.69011e+07,0,265152
NM,2023,0,0,0,0,0,0
NV,2023,0,1.6704e+06,0,4.608e+06,0,100800
NY,2023,0,1.69284e+06,0,1.79578e+07,0,451200
OH,2023,0,0,0,0,0,0
OK,2023,0,0,0,0,0,0
OR,2023,0,1.72685e+06,0,7.37088e+06,0,95040
PA,2023,0,2.55655e+06,0,3.48365e+07,2.65939e+07,0
RI,2023,0,0,0,1.8432e+07,398095,404815
SC,2023,0,3.168e+06,0,5.5296e+06,0,144000
SD,2023,0,0,0,0,0,0
TN,2023,0,5.34528e+06,0,2.34912e+07,0,432000
TX,2023,0,2.88314e+07,0,3.60069e+07,0,3.38112e+06
UT,2023,0,2.05714e+06,0,7.55712e+06,0,144000
VA,2023,0,0,0,5.52384e+06,163200,0
VT,2023,0,0,0,0,40345,40345
WA,2023,0,5.08909e+06,0,3.00902e+07,0,371232
WI,2023,0,1.67578e+06,0,9.21312e+06,0,94080
WV,2023,0,0,0,0,0,0
WY,2023,0,34853.8,0,0,0,9216
