gas_zone,period,BuildLNGLiquefactionCap,LNGLiqefactionCapacity
AL,2023,0.000604368,1.74922e+07
AR,2023,0.000591935,920640
AZ,2023,0.000606451,2.02675e+07
CA,2023,0.0161578,0.0161578
CO,2023,0.0163415,0.0163415
CT,2023,0.000603498,1.65773e+07
DC,2023,0.0157092,0.0157092
DE,2023,0.000592203,1.38048e+06
FL,2023,0.000632092,5.36924e+07
GA,2023,0.000611694,2.76154e+07
IA,2023,0.000606837,2.11949e+07
ID,2023,0.00059383,3.6864e+06
IL,2023,0.00059805,9.2064e+06
IN,2023,0.000611196,2.71824e+07
KS,2023,0.0159573,0.0159573
KY,2023,0.0153654,0.0153654
LA,2023,0.000591264,2.67264e+06
MA,2023,0.000608631,2.3016e+07
MD,2023,0.00059504,5.2944e+06
ME,2023,0.0166733,0.0166733
MI,2023,0.0156064,0.0156064
MN,2023,0.000612974,2.94912e+07
MO,2023,0.0155778,0.0155778
MS,2023,0.0157873,0.0157873
MT,2023,0.016427,0.016427
NC,2023,0.000627825,4.90291e+07
ND,2023,0.0161948,0.0161948
NE,2023,0.000595227,5.52384e+06
NH,2023,22887.8,22887.8
NJ,2023,0.000611392,2.69011e+07
NM,2023,0.0162235,0.0162235
NV,2023,0.00059447,4.608e+06
NY,2023,0.000604678,1.79578e+07
OH,2023,0.0153019,0.0153019
OK,2023,0.0162021,0.0162021
OR,2023,0.000596529,7.37088e+06
PA,2023,0.00061772,3.48365e+07
RI,2023,0.000605067,1.8432e+07
SC,2023,0.000595133,5.5296e+06
SD,2023,0.0156777,0.0156777
TN,2023,0.000608452,2.34912e+07
TX,2023,0.000616958,3.60069e+07
UT,2023,0.000596615,7.55712e+06
VA,2023,0.000595218,5.52384e+06
VT,2023,0.0159143,0.0159143
WA,2023,0.000613603,3.00902e+07
WI,2023,0.00059786,9.21312e+06
WV,2023,2.37742e+06,2.37742e+06
WY,2023,0.0161155,0.0161155
