gas_zone,period,BuildLNGStorageCap,LNG_storage_total_cap
AL,2023,0.00092517,11658.2
AR,2023,0.0306283,0.0306283
AZ,2023,0.00041466,411875
CA,2023,0.000633192,22763.5
CO,2023,0.0307148,0.0307148
CT,2023,0.000415161,2.01134e+06
DC,2023,0.0304963,0.0304963
DE,2023,0.0526576,0.0526576
FL,2023,0.000414175,764150
GA,2023,0.000419011,5.91379e+06
IA,2023,0.000419078,5.6482e+06
ID,2023,0.000414541,1.0176e+06
IL,2023,0.0305252,0.0305252
IN,2023,0.00042169,8.352e+06
KS,2023,0.0305814,0.0305814
KY,2023,0.0303788,0.0303788
LA,2023,0.000431201,1.55657e+07
MA,2023,0.000414962,373703
MD,2023,0.0305498,0.0305498
ME,2023,0.0308028,0.0308028
MI,2023,0.0304629,0.0304629
MN,2023,0.000422031,8.80128e+06
MO,2023,0.0304511,0.0304511
MS,2023,0.000421081,1.152e+07
MT,2023,0.00104165,7545.6
NC,2023,0.000426734,1.34136e+07
ND,2023,0.00113376,2741.76
NE,2023,0.00124524,13075.2
NH,2023,8084.55,22887.8
NJ,2023,0.000417805,4.79693e+06
NM,2023,0.0306739,0.0306739
NV,2023,0.000415515,1.6704e+06
NY,2023,0.000414863,1.69284e+06
OH,2023,0.0303589,0.0303589
OK,2023,0.0306664,0.0306664
OR,2023,0.000415166,1.72685e+06
PA,2023,0.000414128,2.55655e+06
RI,2023,0.0334082,0.0334082
SC,2023,0.000416825,3.168e+06
SD,2023,0.0304859,0.0304859
TN,2023,0.000417923,5.34528e+06
TX,2023,0.000445008,2.88314e+07
UT,2023,0.000415182,2.05714e+06
VA,2023,0.0306984,0.0306984
VT,2023,0.0305194,0.0305194
WA,2023,0.000417961,5.08909e+06
WI,2023,0.000415151,1.67578e+06
WV,2023,2.37742e+06,2.37742e+06
WY,2023,0.000546407,34853.8
