gas_zone,period,BuildLNGVaporizationCap,LNGVaporizationCapacity
AL,2023,42474.3,0.03525
AR,2023,0.03608,0.03608
AZ,2023,0.00143395,70080
CA,2023,0.00146018,59520
CO,2023,0.0360641,0.0360641
CT,2023,0.00139426,160320
DC,2023,0.73025,0.73025
DE,2023,0.0356961,0.0356961
FL,2023,0.00183499,9600
GA,2023,0.00137806,2.4048e+06
IA,2023,0.0013831,360576
ID,2023,0.00142475,75840
IL,2023,0.0372475,0.0372475
IN,2023,0.00138284,384000
KS,2023,0.0359003,0.0359003
KY,2023,0.0365314,0.0365314
LA,2023,0.001386,7.29734e+06
MA,2023,1.94937e+07,168010
MD,2023,0.00155282,1.728e+06
ME,2023,0.0394171,0.0394171
MI,2023,0.0388776,0.0388776
MN,2023,0.00138007,602880
MO,2023,0.0360084,0.0360084
MS,2023,0.00137808,1.44e+06
MT,2023,0.00257809,1920
NC,2023,0.00137804,1.1712e+06
ND,2023,0.00225801,3225.6
NE,2023,0.00182078,11750.4
NH,2023,0.00754911,13440
NJ,2023,0.00138739,265152
NM,2023,0.0359811,0.0359811
NV,2023,0.0014079,100800
NY,2023,0.00138001,451200
OH,2023,2.37742e+06,2.37742e+06
OK,2023,0.0359139,0.0359139
OR,2023,0.00141078,95040
PA,2023,2.65939e+07,0.0346162
RI,2023,396132,402852
SC,2023,0.0014031,144000
SD,2023,0.0359919,0.0359919
TN,2023,0.0013803,432000
TX,2023,0.00138065,3.38112e+06
UT,2023,0.0013949,144000
VA,2023,163200,0.0364774
VT,2023,41406.7,41406.7
WA,2023,0.001382,371232
WI,2023,0.00141777,94080
WV,2023,0.0352096,0.0352096
WY,2023,0.00182942,9216
