load_zone,period,Batteries,Batteries_MWh,Biomass,Conventional Hydroelectric,Conventional Steam Coal,Geothermal,Hydroelectric Pumped Storage,Hydroelectric Pumped Storage_MWh,Natural Gas Fired Combined Cycle,Natural Gas Fired Combustion Turbine,Natural Gas Internal Combustion Engine,Natural Gas Steam Turbine,Nuclear,Offshore Wind Turbine,Onshore Wind Turbine,Petroleum Liquids,Small Hydroelectric,Solar Photovoltaic,distributed_generation,hydro,fuel cells
BASN,2023,935.8,2195.6,44.6,2489.5999999999995,5322.2,893.5,0.0,0.0,7962.299999999999,2183.0,221.40000000000003,576.5,0.0,0.0,1510.1,39.8,435.60000000000014,6777.200000000001,859.0,0.0,0.0
CANO,2023,2273.6,9058.7,677.8,7325.999999999999,0.0,0,2276.9,35291.95,11409.7,4675.5,444.40000000000003,2.9,2240.0,0.0,1442.0,177.29999999999998,664.8,5278.0,3582.0,0.0,0.0
CASO,2023,6682.4,24587.6,364.1,1021.9999999999999,50.0,44.4,1665.0,25807.5,9732.5,6803.5,50.2,1753.8,0.0,0.0,4089.0,17.2,250.3,12607.4,5574.0,0.0,0.0
FRCC,2023,555.1999999999999,1129.3999999999999,823.7,43.5,4671.0,0.0,0.0,0.0,36817.899999999994,8973.3,130.9,3824.0,3737.0,0.0,0.0,455.59999999999997,0.0,6776.1,1322.0,0.0,0.0
ISNE,2023,344.0,712.5,1196.2000000000003,928.2000000000002,438.0,0.0,1830.0,28365.0,16027.8,1791.7999999999997,63.6,901.8000000000001,3355.5,29.3,1547.1,1103.2000000000005,693.4000000000001,2359.6000000000004,3528.0,0.0,0.0
MISC,2023,36.3,60.1,143.8,451.5,18735.1,0.0,471.0,7300.5,4999.1,9201.400000000001,89.6,216.29999999999998,2373.0,0.0,6382.599999999999,450.50000000000006,39.6,1498.9,355.0,0.0,0.0
MISE,2023,1.3,1.5,310.5,32.300000000000004,5821.299999999999,0.0,2115.0,32782.5,6261.099999999999,4399.2,137.10000000000002,1853.5,1161.0,0.0,3676.9,59.900000000000006,24.599999999999998,891.0,223.0,0.0,0.0
MISS,2023,10.5,30.5,372.20000000000005,583.0999999999999,6095.5,0.0,0.0,0.0,19861.4,5539.3,107.79999999999998,7825.799999999999,5426.0,0.0,0,40.9,74.1,1526.9,948.0,0.0,0.0
MISW,2023,31.200000000000003,62.9,613.3000000000002,95.2,15750.5,0.0,0.0,0.0,8432.7,8117.499999999999,774.5000000000001,169.7,2928.1,0.0,23540.999999999996,1668.0999999999997,531.0999999999999,2948.1,1019.0,0.0,0.0
NWPP,2023,41.0,143.4,530.4000000000001,31942.499999999993,2299.0,30.8,314.0,4867.0,6915.200000000001,1342.9,309.8,3.0,1172.0,0.0,8432.699999999999,21.3,770.6000000000001,1525.7,697.0,0.0,0.0
