load_zone,technology,period,capacity
BASN,Batteries,2023,935.8
BASN,Batteries_MWh,2023,2195.6
BASN,Biomass,2023,44.6
BASN,Conventional Hydroelectric,2023,2489.5999999999995
BASN,Conventional Steam Coal,2023,5322.2
BASN,Geothermal,2023,893.5
BASN,Hydroelectric Pumped Storage,2023,0.0
BASN,Hydroelectric Pumped Storage_MWh,2023,0.0
BASN,Natural Gas Fired Combined Cycle,2023,7962.299999999999
BASN,Natural Gas Fired Combustion Turbine,2023,2183.0
BASN,Natural Gas Internal Combustion Engine,2023,221.40000000000003
BASN,Natural Gas Steam Turbine,2023,576.5
BASN,Nuclear,2023,0.0
BASN,Offshore Wind Turbine,2023,0.0
BASN,Onshore Wind Turbine,2023,1510.1
BASN,Petroleum Liquids,2023,39.8
BASN,Small Hydroelectric,2023,435.60000000000014
BASN,Solar Photovoltaic,2023,6777.200000000001
BASN,distributed_generation,2023,859.0
BASN,hydro,2023,0.0
BASN,fuel cells,2023,0.0
CANO,Batteries,2023,2273.6
CANO,Batteries_MWh,2023,9058.7
CANO,Biomass,2023,677.8
CANO,Conventional Hydroelectric,2023,7325.999999999999
CANO,Conventional Steam Coal,2023,0.0
CANO,Geothermal,2023,0
CANO,Hydroelectric Pumped Storage,2023,2276.9
CANO,Hydroelectric Pumped Storage_MWh,2023,35291.95
CANO,Natural Gas Fired Combined Cycle,2023,11409.7
CANO,Natural Gas Fired Combustion Turbine,2023,4675.5
CANO,Natural Gas Internal Combustion Engine,2023,444.40000000000003
CANO,Natural Gas Steam Turbine,2023,2.9
CANO,Nuclear,2023,2240.0
CANO,Offshore Wind Turbine,2023,0.0
CANO,Onshore Wind Turbine,2023,1442.0
CANO,Petroleum Liquids,2023,177.29999999999998
CANO,Small Hydroelectric,2023,664.8
CANO,Solar Photovoltaic,2023,5278.0
CANO,distributed_generation,2023,3582.0
CANO,hydro,2023,0.0
CANO,fuel cells,2023,0.0
CASO,Batteries,2023,6682.4
CASO,Batteries_MWh,2023,24587.6
CASO,Biomass,2023,364.1
CASO,Conventional Hydroelectric,2023,1021.9999999999999
CASO,Conventional Steam Coal,2023,50.0
CASO,Geothermal,2023,44.4
CASO,Hydroelectric Pumped Storage,2023,1665.0
CASO,Hydroelectric Pumped Storage_MWh,2023,25807.5
CASO,Natural Gas Fired Combined Cycle,2023,9732.5
CASO,Natural Gas Fired Combustion Turbine,2023,6803.5
CASO,Natural Gas Internal Combustion Engine,2023,50.2
CASO,Natural Gas Steam Turbine,2023,1753.8
CASO,Nuclear,2023,0.0
CASO,Offshore Wind Turbine,2023,0.0
CASO,Onshore Wind Turbine,2023,4089.0
CASO,Petroleum Liquids,2023,17.2
CASO,Small Hydroelectric,2023,250.3
CASO,Solar Photovoltaic,2023,12607.4
CASO,distributed_generation,2023,5574.0
CASO,hydro,2023,0.0
CASO,fuel cells,2023,0.0
FRCC,Batteries,2023,555.1999999999999
FRCC,Batteries_MWh,2023,1129.3999999999999
FRCC,Biomass,2023,823.7
FRCC,Conventional Hydroelectric,2023,43.5
FRCC,Conventional Steam Coal,2023,4671.0
FRCC,Geothermal,2023,0.0
FRCC,Hydroelectric Pumped Storage,2023,0.0
FRCC,Hydroelectric Pumped Storage_MWh,2023,0.0
FRCC,Natural Gas Fired Combined Cycle,2023,36817.899999999994
FRCC,Natural Gas Fired Combustion Turbine,2023,8973.3
FRCC,Natural Gas Internal Combustion Engine,2023,130.9
FRCC,Natural Gas Steam Turbine,2023,3824.0
FRCC,Nuclear,2023,3737.0
FRCC,Offshore Wind Turbine,2023,0.0
FRCC,Onshore Wind Turbine,2023,0.0
FRCC,Petroleum Liquids,2023,455.59999999999997
FRCC,Small Hydroelectric,2023,0.0
FRCC,Solar Photovoltaic,2023,6776.1
FRCC,distributed_generation,2023,1322.0
FRCC,hydro,2023,0.0
FRCC,fuel cells,2023,0.0
ISNE,Batteries,2023,344.0
ISNE,Batteries_MWh,2023,712.5
ISNE,Biomass,2023,1196.2000000000003
ISNE,Conventional Hydroelectric,2023,928.2000000000002
ISNE,Conventional Steam Coal,2023,438.0
ISNE,Geothermal,2023,0.0
ISNE,Hydroelectric Pumped Storage,2023,1830.0
ISNE,Hydroelectric Pumped Storage_MWh,2023,28365.0
ISNE,Natural Gas Fired Combined Cycle,2023,16027.8
ISNE,Natural Gas Fired Combustion Turbine,2023,1791.7999999999997
ISNE,Natural Gas Internal Combustion Engine,2023,63.6
ISNE,Natural Gas Steam Turbine,2023,901.8000000000001
ISNE,Nuclear,2023,3355.5
ISNE,Offshore Wind Turbine,2023,29.3
ISNE,Onshore Wind Turbine,2023,1547.1
ISNE,Petroleum Liquids,2023,1103.2000000000005
ISNE,Small Hydroelectric,2023,693.4000000000001
ISNE,Solar Photovoltaic,2023,2359.6000000000004
ISNE,distributed_generation,2023,3528.0
ISNE,hydro,2023,0.0
ISNE,fuel cells,2023,0.0
MISC,Batteries,2023,36.3
MISC,Batteries_MWh,2023,60.1
MISC,Biomass,2023,143.8
MISC,Conventional Hydroelectric,2023,451.5
MISC,Conventional Steam Coal,2023,18735.1
MISC,Geothermal,2023,0.0
MISC,Hydroelectric Pumped Storage,2023,471.0
MISC,Hydroelectric Pumped Storage_MWh,2023,7300.5
MISC,Natural Gas Fired Combined Cycle,2023,4999.1
MISC,Natural Gas Fired Combustion Turbine,2023,9201.400000000001
MISC,Natural Gas Internal Combustion Engine,2023,89.6
MISC,Natural Gas Steam Turbine,2023,216.29999999999998
MISC,Nuclear,2023,2373.0
MISC,Offshore Wind Turbine,2023,0.0
MISC,Onshore Wind Turbine,2023,6382.599999999999
MISC,Petroleum Liquids,2023,450.50000000000006
MISC,Small Hydroelectric,2023,39.6
MISC,Solar Photovoltaic,2023,1498.9
MISC,distributed_generation,2023,355.0
MISC,hydro,2023,0.0
MISC,fuel cells,2023,0.0
MISE,Batteries,2023,1.3
MISE,Batteries_MWh,2023,1.5
MISE,Biomass,2023,310.5
MISE,Conventional Hydroelectric,2023,32.300000000000004
MISE,Conventional Steam Coal,2023,5821.299999999999
MISE,Geothermal,2023,0.0
MISE,Hydroelectric Pumped Storage,2023,2115.0
MISE,Hydroelectric Pumped Storage_MWh,2023,32782.5
MISE,Natural Gas Fired Combined Cycle,2023,6261.099999999999
MISE,Natural Gas Fired Combustion Turbine,2023,4399.2
MISE,Natural Gas Internal Combustion Engine,2023,137.10000000000002
MISE,Natural Gas Steam Turbine,2023,1853.5
MISE,Nuclear,2023,1161.0
MISE,Offshore Wind Turbine,2023,0.0
MISE,Onshore Wind Turbine,2023,3676.9
MISE,Petroleum Liquids,2023,59.900000000000006
MISE,Small Hydroelectric,2023,24.599999999999998
MISE,Solar Photovoltaic,2023,891.0
MISE,distributed_generation,2023,223.0
MISE,hydro,2023,0.0
MISE,fuel cells,2023,0.0
MISS,Batteries,2023,10.5
MISS,Batteries_MWh,2023,30.5
MISS,Biomass,2023,372.20000000000005
MISS,Conventional Hydroelectric,2023,583.0999999999999
MISS,Conventional Steam Coal,2023,6095.5
MISS,Geothermal,2023,0.0
MISS,Hydroelectric Pumped Storage,2023,0.0
MISS,Hydroelectric Pumped Storage_MWh,2023,0.0
MISS,Natural Gas Fired Combined Cycle,2023,19861.4
MISS,Natural Gas Fired Combustion Turbine,2023,5539.3
MISS,Natural Gas Internal Combustion Engine,2023,107.79999999999998
MISS,Natural Gas Steam Turbine,2023,7825.799999999999
MISS,Nuclear,2023,5426.0
MISS,Offshore Wind Turbine,2023,0.0
MISS,Onshore Wind Turbine,2023,0
MISS,Petroleum Liquids,2023,40.9
MISS,Small Hydroelectric,2023,74.1
MISS,Solar Photovoltaic,2023,1526.9
MISS,distributed_generation,2023,948.0
MISS,hydro,2023,0.0
MISS,fuel cells,2023,0.0
MISW,Batteries,2023,31.200000000000003
MISW,Batteries_MWh,2023,62.9
MISW,Biomass,2023,613.3000000000002
MISW,Conventional Hydroelectric,2023,95.2
MISW,Conventional Steam Coal,2023,15750.5
MISW,Geothermal,2023,0.0
MISW,Hydroelectric Pumped Storage,2023,0.0
MISW,Hydroelectric Pumped Storage_MWh,2023,0.0
MISW,Natural Gas Fired Combined Cycle,2023,8432.7
MISW,Natural Gas Fired Combustion Turbine,2023,8117.499999999999
MISW,Natural Gas Internal Combustion Engine,2023,774.5000000000001
MISW,Natural Gas Steam Turbine,2023,169.7
MISW,Nuclear,2023,2928.1
MISW,Offshore Wind Turbine,2023,0.0
MISW,Onshore Wind Turbine,2023,23540.999999999996
MISW,Petroleum Liquids,2023,1668.0999999999997
MISW,Small Hydroelectric,2023,531.0999999999999
MISW,Solar Photovoltaic,2023,2948.1
MISW,distributed_generation,2023,1019.0
MISW,hydro,2023,0.0
MISW,fuel cells,2023,0.0
NWPP,Batteries,2023,41.0
NWPP,Batteries_MWh,2023,143.4
NWPP,Biomass,2023,530.4000000000001
NWPP,Conventional Hydroelectric,2023,31942.499999999993
NWPP,Conventional Steam Coal,2023,2299.0
NWPP,Geothermal,2023,30.8
NWPP,Hydroelectric Pumped Storage,2023,314.0
NWPP,Hydroelectric Pumped Storage_MWh,2023,4867.0
NWPP,Natural Gas Fired Combined Cycle,2023,6915.200000000001
NWPP,Natural Gas Fired Combustion Turbine,2023,1342.9
NWPP,Natural Gas Internal Combustion Engine,2023,309.8
NWPP,Natural Gas Steam Turbine,2023,3.0
NWPP,Nuclear,2023,1172.0
