load_zone,period,Coal,Distillate,Electricity,Heat,Naturalgas,Solar,Uranium,Waste_biomass,Water,Wind,hydro,fuel cells
BASN,2023,0.0,0.0,935.8,893.5,8829.3,7636.200000000001,0,44.6,2925.2,1510.1,0,0
CANO,2023,0,0.0,0.0,0.0,11857.0,8860.0,2240.0,677.8,7990.799999999999,1442.0,0,0
CASO,2023,0.0,0.0,6682.4,44.4,16586.2,18181.4,0,364.1,1272.3,4089.0,0,0
FRCC,2023,0.0,0.0,555.1999999999999,0,44813.2,8098.1,3737.0,823.7,43.5,0,0,0
ISNE,2023,0.0,0.0,2174.0,0,17550.7,5887.6,3355.5,1196.2000000000003,1621.6000000000004,1576.3999999999999,0,0
MISC,2023,16326.099999999999,0.0,507.3,0,14423.4,1853.9,2373.0,143.8,491.1,6382.599999999999,0,0
MISE,2023,5761.299999999999,0.0,2116.3,0,10797.4,1114.0,1161.0,310.5,56.900000000000006,3676.9,0,0
MISS,2023,0.0,0.0,10.5,0,31026.600000000002,2474.9,5426.0,372.20000000000005,657.1999999999999,0.0,0,0
MISW,2023,15419.6,0.0,31.200000000000003,0,17349.100000000002,3967.1,2928.1,613.3000000000002,626.3,23540.999999999996,0,0
NWPP,2023,0.0,0.0,0.0,30.8,7174.0,2222.7,1172.0,530.4000000000001,32713.09999999999,8432.699999999999,0,0
NYCW,2023,0,634.6999999999998,19.3,0,6880.9,1006.3,0,124.69999999999999,0,0,0,0
NYUP,2023,0,0.0,170.0,0,8422.1,2097.9,3358.3,304.79999999999995,4277.5,2746.3,0,0
PJMC,2023,0.0,0.0,95.8,0,13782.599999999999,625.1,10898.1,55.2,26.1,4488.800000000001,0,0
PJMD,2023,0.0,0.0,3043.5,0,12484.399999999998,4896.6,3708.0,808.7,626.0,208.0,0,0
PJME,2023,8109.0,0.0,2049.0,0,36168.600000000006,6589.2,12829.400000000001,784.0999999999999,1362.4000000000003,1314.4,0,0
PJMW,2023,20666.0,0.0,335.3,0,31074.500000000004,3159.1,6326.0,163.70000000000002,1173.6000000000001,4304.000000000001,0,0
RMRG,2023,5220.0,0.0,821.0,0,7041.7,3062.0,0,29.9,952.1,8172.8,0,0
SPPC,2023,2337.8,0.0,2.2,0,6316.5999999999985,238.9,1255.0,13.6,73.4,8379.7,0,0
SPPN,2023,4291.200000000001,0.0,4.699999999999999,0,3217.2999999999997,262.6,770.0,19.400000000000002,2600.6,7510.5,0,0
SPPS,2023,0.0,0.0,496.0,0,18374.500000000004,633.8,0,178.60000000000002,2096.2,19005.000000000004,0,0
SRCA,2023,12994.0,0.0,3036.8,0,19723.8,8163.200000000001,12106.7,618.0999999999999,1891.6000000000001,0,0,0
SRCE,2023,0.0,0.0,1806.1000000000001,0,18388.7,1651.2,8431.300000000001,234.9,5067.6,29.1,0,0
SRSE,2023,0.0,0.0,1982.9,0,34108.8,6026.299999999999,6966.0,1350.9999999999998,3893.399999999999,0,0,0
SRSG,2023,0.0,0.0,1802.1,407.7,16092.300000000001,8252.0,4003.0,95.8,2983.6,4444.1,0,0
TRE,2023,9974.6,0.0,2405.5,0,52704.1,9728.2,5120.0,145.1,539.1,12327.8,0,0
TREW,2023,0,0.0,1712.4,0,3344.9999999999995,8334.6,0,0,0,25634.7,0,0
loadzone,2023,0,0,0,0,0,0,0,0,0,0,0,0
