load_zone,period,Batteries,Biomass,Conventional Hydroelectric,Conventional Steam Coal,Geothermal,Hydroelectric Pumped Storage,Natural Gas Fired Combined Cycle,Natural Gas Fired Combustion Turbine,Natural Gas Internal Combustion Engine,Natural Gas Steam Turbine,Nuclear,Offshore Wind Turbine,Onshore Wind Turbine,Petroleum Liquids,Small Hydroelectric,Solar Photovoltaic,distributed_generation,hydro,fuel cells
BASN,2023,935.8,44.6,2489.5999999999995,0.0,893.5,0,7962.299999999999,640.6,221.40000000000003,5.0,0,0,1510.1,0.0,435.60000000000014,6777.200000000001,859.0,0,0
CANO,2023,0.0,677.8,7325.999999999999,0,0.0,0.0,11409.7,0.0,444.40000000000003,2.9,2240.0,0,1442.0,0.0,664.8,5278.0,3582.0,0,0
CASO,2023,6682.4,364.1,1021.9999999999999,0.0,44.4,0.0,9732.5,6803.5,50.2,0.0,0,0,4089.0,0.0,250.3,12607.4,5574.0,0,0
FRCC,2023,555.1999999999999,823.7,43.5,0.0,0,0,36817.899999999994,7864.4,130.9,0.0,3737.0,0,0,0.0,0,6776.1,1322.0,0,0
ISNE,2023,344.0,1196.2000000000003,928.2000000000002,0.0,0,1830.0,16027.8,1448.9,63.6,10.4,3355.5,29.3,1547.1,0.0,693.4000000000001,2359.6000000000004,3528.0,0,0
MISC,2023,36.3,143.8,451.5,16326.099999999999,0,471.0,4999.1,9136.400000000001,71.6,216.29999999999998,2373.0,0,6382.599999999999,0.0,39.6,1498.9,355.0,0,0
MISE,2023,1.3,310.5,32.300000000000004,5761.299999999999,0,2115.0,6261.099999999999,4399.2,137.10000000000002,0.0,1161.0,0,3676.9,0.0,24.599999999999998,891.0,223.0,0,0
MISS,2023,10.5,372.20000000000005,583.0999999999999,0.0,0,0,19861.4,4113.2,107.79999999999998,6944.199999999999,5426.0,0,0.0,0.0,74.1,1526.9,948.0,0,0
MISW,2023,31.200000000000003,613.3000000000002,95.2,15419.6,0,0,8432.7,7972.2,774.5000000000001,169.7,2928.1,0,23540.999999999996,0.0,531.0999999999999,2948.1,1019.0,0,0
NWPP,2023,0.0,530.4000000000001,31942.499999999993,0.0,30.8,0.0,6915.200000000001,0.0,255.79999999999998,3.0,1172.0,0,8432.699999999999,0.0,770.6000000000001,1525.7,697.0,0,0
NYCW,2023,19.3,124.69999999999999,0,0,0,0,4333.0,2114.0,37.4,396.5,0,0,0,634.6999999999998,0,157.29999999999998,849.0,0,0
NYUP,2023,170.0,304.79999999999995,3540.6,0,0,0.0,8402.6,0.0,19.5,0.0,3358.3,0,2746.3,0.0,736.9,1467.9,630.0,0,0
PJMC,2023,95.8,55.2,0.8,0.0,0,0,5038.4,8625.699999999999,118.5,0.0,10898.1,0,4488.800000000001,0.0,25.3,309.1,316.0,0,0
PJMD,2023,40.5,808.7,613.1,0.0,0,3003.0,7901.3,4560.5,2.3,20.299999999999997,3708.0,0,208.0,0.0,12.9,4533.6,363.0,0,0
PJME,2023,107.00000000000001,784.0999999999999,1213.9000000000003,8109.0,0,1942.0,28306.6,5044.0,262.8,2555.2,12829.400000000001,0,1314.4,0.0,148.5,2089.2,4500.0,0,0
PJMW,2023,97.3,163.70000000000002,884.8000000000002,20666.0,0,238.0,19302.800000000003,11611.1,90.5,70.1,6326.0,0,4304.000000000001,0.0,288.8,2361.1,798.0,0,0
RMRG,2023,240.2,29.9,708.8,5220.0,0,580.8,3561.5,2883.0,247.2,350.0,0,0,8172.8,0.0,243.30000000000004,2306.0,756.0,0,0
SPPC,2023,2.2,13.6,52.0,2337.8,0,0,1872.9999999999998,3905.7,432.79999999999995,105.1,1255.0,0,8379.7,0.0,21.4,101.9,137.0,0,0
SPPN,2023,4.699999999999999,19.400000000000002,2510.0,4291.200000000001,0,0,644.6,2074.3,267.2,231.2,770.0,0,7510.5,0.0,90.6,125.6,137.0,0,0
SPPS,2023,22.0,178.60000000000002,2008.3999999999999,0.0,0,474.0,9527.6,3954.0,445.70000000000005,4447.200000000001,0,0,19005.000000000004,0.0,87.79999999999998,334.8,299.0,0,0
SRCA,2023,160.8,618.0999999999999,1772.4,12994.0,0,2876.0,9673.2,9484.900000000001,0,565.7,12106.7,0,0,0.0,119.2,6802.200000000001,1361.0,0,0
SRCE,2023,122.3,234.9,4937.3,0.0,0,1683.8000000000002,11514.6,6807.1,3.2,63.8,8431.300000000001,0,29.1,0.0,130.3,1465.2,186.0,0,0
SRSE,2023,86.7,1350.9999999999998,3799.1999999999994,0.0,0,1896.2,21559.4,12517.800000000001,20.700000000000003,10.9,6966.0,0,0,0.0,94.19999999999999,5860.299999999999,166.0,0,0
SRSG,2023,1585.8,95.8,2765.5,0.0,407.7,216.3,12141.399999999998,3483.7,197.2,270.0,4003.0,0,4444.1,0.0,218.10000000000002,6817.000000000001,1435.0,0,0
TRE,2023,2405.5,145.1,483.0,9974.6,0,0,38201.8,8732.9,900.1999999999999,4869.2,5120.0,0,12327.8,0.0,56.099999999999994,8532.2,1196.0,0,0
TREW,2023,1712.4,0,0,0,0,0,2127.8999999999996,1208.0,9.100000000000001,0.0,0,0,25634.7,0.0,0,8269.6,65.0,0,0
loadzone,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
