component,npv_cost
TotalGenFixedCosts,49080524726.09612
StorageEnergyFixedCost,0
TxFixedCosts,8607984635.157578
EmissionsCosts,192512114797.6163
GeneralGlFixedCosts,0
DirectionalGlFixedCosts,0
GasStorageFixedCosts,0
GasWellFixedCosts,492671985.4962943
LNGStorageFixedCosts,0
LNGLiquefactionFixedCosts,2504514227.77207
LNGVaporizationFixedCosts,43445212.06092853
RelaxCost,0
DisposalCost,12594602126.41426
UnservedLoadPenalty,5897498232.762084
GenVariableOMCostsInTP,11186148676.04979
NodeSpillageCosts,0
FuelCostsPerTP,59108695799.50827
LNGShippingCostsPerTP,21290840.43070532
GasProdCostsPerTP,4754589472.023834
TransmissionCostsPerTP,8651459240.289528
StorageCostsPerTP,528375719.0324469
LNGLiquefactionCostsPerTP,5521023.900508566
LNGRegasificationCostsPerTP,1550709.252065472
