gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2023,-1387.6313327503008,1146964.0234764214,0.0,17783.8,0.0,132951688.8,17.537427078622727,0.049082806697986356,9034.058155926443,7646.426823176142
Biomass,Waste_biomass,2023,24403.365902635374,129432406.64345585,0.0,10004.2,0.0,1572860324.0,69.75647283392252,0.2784599778509692,0.0,0.0
Conventional Hydroelectric,Water,2023,248323.69786046425,0.0,0.0,70203.7,0.0,3302943677.5999994,13.300960424066972,0.4037881625611077,0.0,0.0
Conventional Steam Coal,Coal,2023,14658.15152264656,27542666.711052887,14474112.94867298,180393.9,0.0,11335788226.0603,775.2226380806084,0.009275829917651255,0.0,0.0
Geothermal,Heat,2023,6093.319889603518,0.0,0.0,1376.4,0.0,287806616.4,47.23313753657647,0.5053645015983724,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2023,-6832.127533573788,0.0,0.0,22988.7,0.0,1081572357.6,52.781322565321496,0.10175513058213381,27323.70116289048,20491.573629316692
Natural Gas Fired Combined Cycle,Naturalgas,2023,2124343.9605075307,7780626231.112767,831936819.4073881,312830.0,0.0,3682011306.5782,5.39584820103822,0.7751966005950343,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2023,242288.1420525621,1647559365.9574223,147757405.7773922,143140.3,0.0,1434072912.9063,12.71887370449682,0.19322604042340585,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2023,21068.13157081224,128940297.35306107,10322904.349193538,5383.6,0.0,129206400.0,12.252946896852361,0.446733638252157,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2023,26032.196024826833,27489999.00221714,16046026.428099383,34255.8,0.0,1185739193.9778,46.604949955930095,0.08675052453345866,0.0,0.0
Nuclear,Uranium,2023,859847.357491208,2118819150.399649,0.0,98164.40000000001,0.0,20843524208.1928,26.70513918376174,0.9999142608685845,0.0,0.0
Offshore Wind Turbine,Wind,2023,122.14092999184898,0.0,0.0,29.3,0.0,3268766.6,26.762254063548884,0.4758707596541903,0.0,0.0
Onshore Wind Turbine,Wind,2023,395676.07668929617,0.0,0.0,149186.6,0.0,4520353980.0,11.424380310840975,0.3027648086724742,0.0,0.0
Petroleum Liquids,Distillate,2023,767.4544664382186,5828049.218131833,643244.0331722524,7299.3,0.0,175183200.0,235.85926870451482,0.012002364794740587,0.0,0.0
Small Hydroelectric,Water,2023,27117.84225015072,0.0,0.0,5757.5,0.0,270878860.0,9.988953306139042,0.5376709856708641,0.0,0.0
Solar Photovoltaic,Solar,2023,210726.8182569313,0.0,0.0,93721.90000000001,0.0,2111366963.2,10.01945068342317,0.25666942836346196,0.0,0.0
distributed_generation,Solar,2023,62326.159671822395,0.0,0.0,31301.0,0.0,0.0,0.0,0.22730425906293172,0.0,0.0
