generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2023,-48.07912760620039,39740.403911999994,0.0,935.8,0.0,6996040.8,26.556528789283938,0.03231866365645536,313.01515368620034,264.93602608
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2023,70.86146965632,406036.2211307137,0.0,12.600000000000001,0.0,1980972.0,33.68555905921465,0.6419999999999999,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2023,179.96563722239998,633838.9742972928,0.0,32.0,0.0,5031040.0,31.477559059214645,0.6419999999999999,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2023,8476.739079627061,0.0,0.0,2489.5999999999995,0.0,117130700.79999998,13.817896209818601,0.38868220519095376,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2023,0.0,0.0,0.0,1700.2,0.0,117379286.6034,0.0,0.0,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2023,0.0,0.0,0.0,3622.0,0.0,215947537.27199998,0.0,0.0,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2023,2016.5278302778997,0.0,0.0,859.0,0.0,0.0,0.0,0.2679825245967767,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2023,4046.594454619199,0.0,0.0,893.5,0.0,186831743.5,46.17011800792912,0.5169999999999999,,
BASN_id_natural_gas_fired_combined_cycle_1,BASN_id_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,BASN,Naturalgas,2023,2638.0829743799995,12005915.616403379,987255.5425231117,302.2,0.0,4983882.399999999,6.440206081992667,0.9965277777777777,,
BASN_id_natural_gas_fired_combustion_turbine_1,BASN_id_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,2023,155.7494300784553,1059096.1245334959,90417.13253875342,417.7,0.0,4565878.7,36.11554033745125,0.0425654676113746,,
