gas_zone,timeseries,ShadowPrice
AL,20230103,0.605352
AL,20230130,0.563391
AL,20230213,0.63342
AL,20230216,0.324744
AL,20230306,0.353624
AL,20230315,0.707779
AL,20230403,0.532721
AL,20230410,0.479937
AL,20230530,0.387626
AL,20230517,0.378242
AL,20230630,0.374754
AL,20230615,0.386206
AL,20230727,0.40635
AL,20230710,0.398965
AL,20230803,0.429053
AL,20230831,0.438816
AL,20230906,0.474689
AL,20230912,0.546683
AL,20231005,0.809109
AL,20231020,0.784408
AL,20231129,0.791858
AL,20231121,0.786547
AL,20231228,0.770586
AL,20231218,0.713639
AR,20230103,0.338686
AR,20230130,0.279471
AR,20230213,0.0445693
AR,20230216,-0.199892
AR,20230306,0.125274
AR,20230315,0.406295
AR,20230403,0.296884
AR,20230410,0.194675
AR,20230530,0.196634
AR,20230517,0.191035
AR,20230630,0.050683
AR,20230615,0.144431
AR,20230727,0.070951
AR,20230710,0.0500669
AR,20230803,0.0728543
AR,20230831,0.0658696
AR,20230906,0.112102
AR,20230912,0.15078
AR,20231005,0.384703
AR,20231020,0.406784
AR,20231129,0.400125
AR,20231121,0.404872
AR,20231228,0.401657
AR,20231218,0.338258
AZ,20230103,0.705049
AZ,20230130,0.698193
AZ,20230213,0.652875
AZ,20230216,0.6628
AZ,20230306,0.630134
AZ,20230315,0.530908
AZ,20230403,0.384795
AZ,20230410,0.278998
AZ,20230530,0.317774
AZ,20230517,0.28969
AZ,20230630,0.305622
AZ,20230615,0.315847
AZ,20230727,0.307879
AZ,20230710,0.291612
AZ,20230803,0.311965
AZ,20230831,0.296972
AZ,20230906,0.306246
AZ,20230912,0.291694
AZ,20231005,0.585428
AZ,20231020,0.541193
AZ,20231129,0.601266
AZ,20231121,0.602025
AZ,20231228,0.602988
AZ,20231218,0.602501
CA,20230103,0.89491
CA,20230130,0.919026
CA,20230213,0.896579
CA,20230216,0.908338
CA,20230306,0.832244
CA,20230315,0.714272
CA,20230403,0.539308
CA,20230410,0.43723
CA,20230530,0.475837
CA,20230517,0.457184
CA,20230630,0.471272
CA,20230615,0.480212
CA,20230727,0.48298
CA,20230710,0.474383
CA,20230803,0.48485
CA,20230831,0.477986
CA,20230906,0.482232
CA,20230912,0.483851
CA,20231005,0.791419
CA,20231020,0.724477
CA,20231129,0.791398
CA,20231121,0.787276
CA,20231228,0.782052
CA,20231218,0.784696
CO,20230103,0.338686
CO,20230130,0.4981
CO,20230213,0.288908
CO,20230216,0.321247
CO,20230306,0.202805
CO,20230315,0.310461
CO,20230403,0.160725
CO,20230410,0.163178
CO,20230530,0.0964033
CO,20230517,0.0910123
CO,20230630,0.0505026
CO,20230615,0.0665217
CO,20230727,0.0592434
CO,20230710,0.0468157
CO,20230803,0.0626939
CO,20230831,0.0500315
CO,20230906,0.0773594
CO,20230912,0.094544
CO,20231005,0.320679
CO,20231020,0.353145
CO,20231129,0.358324
CO,20231121,0.354632
CO,20231228,0.349953
CO,20231218,0.352321
CT,20230103,-0.392705
CT,20230130,-0.451382
CT,20230213,-0.505702
CT,20230216,-0.487522
CT,20230306,-0.441755
CT,20230315,-0.413671
CT,20230403,-0.610492
CT,20230410,-0.635978
CT,20230530,-0.626633
CT,20230517,-0.554192
CT,20230630,-0.728674
CT,20230615,-0.642528
CT,20230727,-0.725062
CT,20230710,-0.727249
CT,20230803,-0.629494
CT,20230831,-0.613443
CT,20230906,-0.623371
CT,20230912,-0.591442
CT,20231005,-0.564124
CT,20231020,-0.60896
CT,20231129,0.80743
CT,20231121,0.661911
CT,20231228,-0.617294
CT,20231218,-0.61111
DC,20230103,-0.0748869
DC,20230130,0.196089
DC,20230213,0.180132
DC,20230216,-0.612084
DC,20230306,-0.423209
DC,20230315,0.707779
DC,20230403,0.200977
DC,20230410,0.128554
DC,20230530,-0.629982
DC,20230517,-0.608545
DC,20230630,-0.585989
DC,20230615,-0.520808
DC,20230727,-0.621519
DC,20230710,-0.63527
DC,20230803,-0.619522
DC,20230831,-0.626851
DC,20230906,-0.499864
DC,20230912,-0.245697
DC,20231005,0.427012
DC,20231020,0.660473
DC,20231129,0.81273
DC,20231121,0.805028
DC,20231228,0.598627
DC,20231218,-0.275506
DE,20230103,-0.776998
DE,20230130,-0.785608
DE,20230213,-0.788888
DE,20230216,-0.785471
DE,20230306,-0.800538
DE,20230315,-0.807609
DE,20230403,-0.870957
DE,20230410,-0.879926
DE,20230530,-0.877825
DE,20230517,-0.886541
DE,20230630,-0.83424
DE,20230615,-0.854066
DE,20230727,-0.831072
DE,20230710,-0.827751
DE,20230803,-0.83284
DE,20230831,-0.82635
DE,20230906,-0.830364
DE,20230912,-0.817454
DE,20231005,-0.806408
DE,20231020,-0.824537
DE,20231129,-0.81907
DE,20231121,-0.822967
DE,20231228,-0.827907
DE,20231218,-0.825407
FL,20230103,0.781939
FL,20230130,0.757207
FL,20230213,0.827694
FL,20230216,0.520994
FL,20230306,0.522363
FL,20230315,0.864241
FL,20230403,0.662695
FL,20230410,0.61234
FL,20230530,0.465265
FL,20230517,0.462919
FL,20230630,0.488129
FL,20230615,0.567408
FL,20230727,0.680117
FL,20230710,0.667985
FL,20230803,0.699357
FL,20230831,0.72183
FL,20230906,0.749842
FL,20230912,0.847117
FL,20231005,1.13117
FL,20231020,1.07097
FL,20231129,1.08913
FL,20231121,1.07619
FL,20231228,0.916679
FL,20231218,0.862287
GA,20230103,0.781939
GA,20230130,0.757207
GA,20230213,0.827694
GA,20230216,0.520994
GA,20230306,0.522363
GA,20230315,0.864241
GA,20230403,0.662695
GA,20230410,0.61234
GA,20230530,0.465265
GA,20230517,0.462919
GA,20230630,0.488129
GA,20230615,0.46491
GA,20230727,0.549209
GA,20230710,0.535411
GA,20230803,0.570105
GA,20230831,0.5865
GA,20230906,0.618272
GA,20230912,0.703458
GA,20231005,0.977171
GA,20231020,0.933945
GA,20231129,0.946982
GA,20231121,0.937688
GA,20231228,0.916679
GA,20231218,0.862287
IA,20230103,0.770871
IA,20230130,0.798182
IA,20230213,0.711482
IA,20230216,0.738486
IA,20230306,0.523781
IA,20230315,0.704487
IA,20230403,0.429982
IA,20230410,0.453541
IA,20230530,0.445003
IA,20230517,0.363617
IA,20230630,0.4733
IA,20230615,0.604296
IA,20230727,0.288645
IA,20230710,0.342269
IA,20230803,0.289194
IA,20230831,0.287181
IA,20230906,0.307922
IA,20230912,0.346291
IA,20231005,0.590551
IA,20231020,0.599634
IA,20231129,0.60742
IA,20231121,0.598847
IA,20231228,0.601322
IA,20231218,0.600069
ID,20230103,0.205868
ID,20230130,0.293712
ID,20230213,0.341004
ID,20230216,0.352315
ID,20230306,0.357559
ID,20230315,0.289412
ID,20230403,0.144053
ID,20230410,-0.00854773
ID,20230530,0.0673261
ID,20230517,0.0865823
ID,20230630,0.0716918
ID,20230615,0.0663429
ID,20230727,0.105163
ID,20230710,0.0846279
ID,20230803,0.107914
ID,20230831,0.0978193
ID,20230906,0.104063
ID,20230912,0.0839828
ID,20231005,0.362762
ID,20231020,0.343071
ID,20231129,0.395742
ID,20231121,0.401778
ID,20231228,0.405892
ID,20231218,0.405556
IL,20230103,0.840438
IL,20230130,0.891497
IL,20230213,0.838222
IL,20230216,0.670466
IL,20230306,0.674806
IL,20230315,0.921555
IL,20230403,0.532721
IL,20230410,0.453541
IL,20230530,0.52719
IL,20230517,0.554311
IL,20230630,0.45985
IL,20230615,0.466137
IL,20230727,0.519179
IL,20230710,0.515269
IL,20230803,0.528489
IL,20230831,0.537727
IL,20230906,0.551509
IL,20230912,0.61226
IL,20231005,0.875669
IL,20231020,0.853323
IL,20231129,0.860062
IL,20231121,0.855258
IL,20231228,0.849169
IL,20231218,0.852251
IN,20230103,0.618035
IN,20230130,0.672174
IN,20230213,0.63342
IN,20230216,0.430169
IN,20230306,0.518163
IN,20230315,0.804395
IN,20230403,0.532721
IN,20230410,0.453541
IN,20230530,0.435984
IN,20230517,0.438956
IN,20230630,0.412228
IN,20230615,0.452262
IN,20230727,0.387437
IN,20230710,0.387606
IN,20230803,0.398413
IN,20230831,0.401536
IN,20230906,0.4191
IN,20230912,0.467685
IN,20231005,0.720685
IN,20231020,0.784408
IN,20231129,0.826506
IN,20231121,0.786547
IN,20231228,0.770586
IN,20231218,0.715171
KS,20230103,0.338686
KS,20230130,0.439346
KS,20230213,0.251534
KS,20230216,0.25099
KS,20230306,-0.051286
KS,20230315,0.247978
KS,20230403,0.160725
KS,20230410,0.163178
KS,20230530,0.196634
KS,20230517,0.191035
KS,20230630,0.050683
KS,20230615,0.144431
KS,20230727,0.0625766
KS,20230710,0.0500669
KS,20230803,0.0641143
KS,20230831,0.0584715
KS,20230906,0.0855649
KS,20230912,0.0507367
KS,20231005,0.327122
KS,20231020,0.31136
KS,20231129,0.316114
KS,20231121,0.312725
KS,20231228,0.310279
KS,20231218,0.310785
KY,20230103,0.406281
KY,20230130,0.479326
KY,20230213,0.453472
KY,20230216,0.255349
KY,20230306,0.402563
KY,20230315,0.613778
KY,20230403,0.437268
KY,20230410,0.348837
KY,20230530,0.278608
KY,20230517,0.197119
KY,20230630,0.094343
KY,20230615,0.343721
KY,20230727,-0.426919
KY,20230710,-0.22636
KY,20230803,-0.40564
KY,20230831,-0.440322
KY,20230906,-0.399374
KY,20230912,-0.425994
KY,20231005,-0.151966
KY,20231020,-0.0680096
KY,20231129,-0.0577601
KY,20231121,-0.0750153
KY,20231228,-0.0622036
KY,20231218,-0.132182
LA,20230103,0.125143
LA,20230130,0.140936
LA,20230213,0.322213
LA,20230216,0.00862783
LA,20230306,0.0474161
LA,20230315,0.406295
LA,20230403,0.268651
LA,20230410,0.194675
LA,20230530,0.162747
LA,20230517,0.143794
LA,20230630,0.0447867
LA,20230615,0.144431
LA,20230727,0.012235
LA,20230710,0.0157942
LA,20230803,0.0399238
LA,20230831,0.0313908
LA,20230906,0.0785814
LA,20230912,0.114179
LA,20231005,0.345466
LA,20231020,0.371873
LA,20231129,0.363909
LA,20231121,0.369586
LA,20231228,0.36755
LA,20231218,0.303555
MA,20230103,0.0103705
MA,20230130,-0.080399
MA,20230213,-0.159458
MA,20230216,-0.270798
MA,20230306,-0.132408
MA,20230315,-0.098891
MA,20230403,-0.384454
MA,20230410,-0.411885
MA,20230530,-0.512261
MA,20230517,-0.554192
MA,20230630,-0.728674
MA,20230615,-0.642528
MA,20230727,-0.725062
MA,20230710,-0.727249
MA,20230803,-0.620164
MA,20230831,-0.501387
MA,20230906,-0.392076
MA,20230912,-0.338893
MA,20231005,-0.293393
MA,20231020,-0.368072
MA,20231129,5.01721
MA,20231121,2.7495
MA,20231228,-0.381953
MA,20231218,-0.371654
MD,20230103,-0.497585
MD,20230130,-0.180331
MD,20230213,-0.17116
MD,20230216,-0.785471
MD,20230306,-0.70908
MD,20230315,0.449894
MD,20230403,-0.0219529
MD,20230410,-0.103394
MD,20230530,-0.806599
MD,20230517,-0.720851
MD,20230630,-0.83424
MD,20230615,-0.854066
MD,20230727,-0.783278
MD,20230710,-0.827751
MD,20230803,-0.779235
MD,20230831,-0.794073
MD,20230906,-0.662441
MD,20230912,-0.423212
MD,20231005,0.236716
MD,20231020,0.491153
