GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
BASN_id_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,.,.,.
BASN_nv_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,.,.,.
BASN_ut_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,.,.,.
BASN_id_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_id_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_nv_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_nv_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_ut_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_ut_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,.,.,.
BASN_nv_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,BASN,Naturalgas,.,.,.
BASN_ut_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,BASN,Naturalgas,.,.,.
BASN_id_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,.,.,.
BASN_nv_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,.,.,.
BASN_ut_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,.,.,.
CANO_ca_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,CANO,Naturalgas,.,.,.
CANO_ca_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,CANO,Naturalgas,.,.,.
CANO_ca_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,.,.,.
CANO_ca_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,.,.,.
CANO_ca_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,CANO,Naturalgas,94.8,.,0
CANO_ca_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,CANO,Naturalgas,.,.,.
CASO_ca_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,CASO,Naturalgas,.,.,.
CASO_ca_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,CASO,Naturalgas,.,.,.
CASO_ca_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,.,.,.
CASO_ca_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,.,.,.
CASO_ca_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,CASO,Naturalgas,1.5,.,0
CASO_ca_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,CASO,Naturalgas,.,.,.
FRCC_fl_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,1129.7,.,0
FRCC_fl_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,.,.,.
FRCC_fl_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,.,.,.
FRCC_fl_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,.,.,.
FRCC_fl_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,2.6,.,0
FRCC_fl_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,FRCC,Naturalgas,.,.,.
ISNE_ct_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ct_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ma_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ma_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_me_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_me_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_nh_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_nh_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ri_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ri_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,.,.,.
ISNE_ct_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,.,.,.
ISNE_ct_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,.,.,.
ISNE_ma_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,.,.,.
