GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
BASN_id_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,302.2,0,.,0,4.98388e+06
BASN_nv_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,5754.7,0,.,0,6.65285e+07
BASN_ut_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,BASN,Naturalgas,1905.4,0,.,0,2.14376e+07
BASN_id_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,417.7,0,.,0,4.56588e+06
BASN_id_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,5.3,0,.,0,71083.6
BASN_nv_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,836,0,.,0,7.93242e+06
BASN_nv_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,374,0,.,0,4.10804e+06
BASN_ut_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,222.9,0,.,0,2.98953e+06
BASN_ut_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,327.1,0,.,0,3.57553e+06
BASN_nv_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,BASN,Naturalgas,117.6,0,.,0,2.8224e+06
BASN_ut_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,BASN,Naturalgas,103.8,0,.,0,2.4912e+06
BASN_id_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,5,0,.,0,256515
BASN_nv_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,334,0,.,0,1.71352e+07
BASN_ut_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,BASN,Naturalgas,237.5,0,.,0,1.21845e+07
CANO_ca_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,CANO,Naturalgas,3112.8,0,.,0,5.13363e+07
CANO_ca_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,CANO,Naturalgas,8296.9,0,.,0,8.65106e+07
CANO_ca_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2248.7,0,.,0,2.24269e+07
CANO_ca_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2426.8,0,.,0,3.25482e+07
CANO_ca_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,CANO,Naturalgas,444.4,0,.,0,1.06656e+07
CANO_ca_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,CANO,Naturalgas,2.9,0,.,0,148779
CASO_ca_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,CASO,Naturalgas,2250.9,0,.,0,3.71218e+07
CASO_ca_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,CASO,Naturalgas,7481.6,0,.,0,7.60474e+07
CASO_ca_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,1926.1,0,.,0,2.58329e+07
CASO_ca_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,4877.4,0,.,0,4.73847e+07
CASO_ca_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,CASO,Naturalgas,50.2,0,.,0,1.2048e+06
CASO_ca_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,CASO,Naturalgas,1753.8,0,.,0,5.33577e+07
FRCC_fl_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,34026.2,0,.,0,4.09774e+08
FRCC_fl_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2791.7,0,.,0,4.60407e+07
FRCC_fl_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,7864.4,0,.,0,7.28681e+07
FRCC_fl_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,1108.9,0,.,0,1.28307e+07
FRCC_fl_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,130.9,0,.,0,3.1416e+06
FRCC_fl_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,FRCC,Naturalgas,3824,0,.,0,1.1357e+08
ISNE_ct_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,144,0,.,0,2.37485e+06
ISNE_ct_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,4046.9,0,.,0,3.9607e+07
ISNE_ma_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2640.5,0,.,0,4.35471e+07
ISNE_ma_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,4495.4,0,.,0,4.83041e+07
ISNE_me_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,1116.5,0,.,0,1.09272e+07
ISNE_me_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,256,0,.,0,4.22195e+06
ISNE_nh_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,797,0,.,0,7.80024e+06
ISNE_nh_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,633,0,.,0,6.19517e+06
ISNE_ri_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,1117.1,0,.,0,1.09331e+07
ISNE_ri_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,781.4,0,.,0,1.28868e+07
ISNE_ct_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,180,0,.,0,2.41416e+06
ISNE_ct_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,450.7,0,.,0,4.32742e+06
ISNE_ma_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,144.7,0,.,0,1.94072e+06
ISNE_ma_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,808.2,0,.,0,8.48067e+06
ISNE_me_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,183.1,0,.,0,2.00147e+06
ISNE_me_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,5,0,.,0,67060
ISNE_nh_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,5,0,.,0,67060
ISNE_ri_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,15.1,0,.,0,202521
ISNE_ct_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,15.7,0,.,0,376800
ISNE_ma_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,33.4,0,.,0,801600
ISNE_ri_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,14.5,0,.,0,348000
ISNE_ct_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,453.9,0,.,0,2.32864e+07
