load_zone,timestamp,UnservedLoad,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
BASN,202300,0,9159.99,0,1125.01,10285,0
BASN,202300,0,8034.59,0,1613.41,9648,0
BASN,202300,0,5921.54,0,3315.46,9237,0
BASN,202300,0,5521.79,0,3418.21,8940,0
BASN,202300,0,4080.69,0,4755.31,8836,0
BASN,202300,0,3190.56,0,5672.44,8863,0
BASN,202300,0,3910.13,0,5077.87,8988,0
BASN,202300,0,7832.73,0,1560.27,9393,0
BASN,202300,0,9374,0,796.997,10171,0
BASN,202300,0,8931.68,0,1980.32,10912,0
BASN,202300,0,6564.32,0,4465.68,11030,0
BASN,202300,0,6364.32,0,4465.68,10830,0
BASN,202300,0,6547.14,0,4175.86,10723,0
BASN,202300,0,6973.75,0,3654.25,10628,0
BASN,202300,0,7171.83,0,3273.17,10445,0
BASN,202300,0,7091.13,0,3191.87,10283,0
BASN,202300,0,6204.4,0,3962.6,10167,0
BASN,202300,0,6542.79,0,3529.21,10072,0
BASN,202300,0,10134.9,0,35.0575,10170,0
BASN,202300,0,9603.17,0,1220.83,10824,0
BASN,202300,0,9562.31,0,1860.69,11423,0
BASN,202300,0,8798.59,0,2557.41,11356,0
BASN,202300,0,9571.6,0,1609.4,11181,0
BASN,202300,0,8841.68,0,2034.32,10876,0
BASN,202301,0,7775.14,0,2405.86,10181,0
BASN,202301,0,6447.17,0,3201.83,9649,0
BASN,202301,0,5970.33,0,3292.67,9263,0
BASN,202301,0,4520.32,0,4465.68,8986,0
BASN,202301,0,3409.3,0,5516.7,8926,0
BASN,202301,0,4807.25,0,4101.75,8909,0
BASN,202301,0,6347.08,0,2742.92,9090,0
BASN,202301,0,9514,0,0,9514,0
BASN,202301,0,10828.5,0,-510.537,10318,0
BASN,202301,0,11156,0,0,11156,0
BASN,202301,0,6763.32,0,4465.68,11229,0
BASN,202301,0,6599.32,0,4465.68,11065,0
BASN,202301,0,6487.69,0,4457.31,10945,0
BASN,202301,0,7072.72,0,3706.28,10779,0
BASN,202301,0,6838.71,0,3696.29,10535,0
BASN,202301,0,7551.65,0,2824.35,10376,0
BASN,202301,0,6384.91,0,3831.09,10216,0
BASN,202301,0,5671.32,0,4465.68,10137,0
BASN,202301,0,6888.92,0,3309.08,10198,0
BASN,202301,0,8956.05,0,1772.53,10568,160.574
BASN,202301,0,9013.46,0,2321.54,11335,0
BASN,202301,0,10561.4,0,848.574,11410,0
BASN,202301,0,8965.08,0,2258.92,11224,0
BASN,202301,0,8864.44,0,2080.56,10945,0
BASN,202302,0,10258.1,0,-279.089,9979,0
BASN,202302,0,9712.47,0,-203.471,9509,0
BASN,202302,0,7905.18,0,1181.82,9087,0
BASN,202302,0,4575.72,0,4296.28,8872,0
BASN,202302,0,2999.52,0,5802.48,8802,0
BASN,202302,0,2968.36,0,5861.64,8830,0
BASN,202302,0,5452.02,0,3503.98,8956,0
BASN,202302,0,9583.12,0,-286.117,9297,0
BASN,202302,0,9838.39,0,290.606,10129,0
BASN,202302,0,8538.07,0,2324.93,10863,0
BASN,202302,0,7699.79,0,3244.21,10944,0
BASN,202302,0,7157.82,0,3774.18,10932,0
BASN,202302,0,8199.79,0,2635.21,10835,0
BASN,202302,0,8368.53,0,2379.47,10748,0
BASN,202302,0,8160.16,0,2409.84,10570,0
BASN,202302,0,7703.97,0,2760.03,10464,0
BASN,202302,0,7807.35,0,2580.65,10388,0
BASN,202302,0,9029.52,0,1299.48,10329,0
BASN,202302,0,9475.82,0,903.182,10379,0
BASN,202302,0,10901.5,0,-255.457,10646,0
BASN,202302,0,10753.4,0,556.57,11310,0
BASN,202302,0,9802.49,0,1644.51,11447,0
BASN,202302,0,10601.6,0,683.399,11285,0
BASN,202302,0,11454.5,0,-476.49,10978,0
BASN,202303,0,10595.2,0,152.835,10748,0
BASN,202303,0,10190.8,0,-36.7913,10154,0
BASN,202303,0,8717.28,0,1015.72,9733,0
BASN,202303,0,4769.63,0,4743.37,9513,0
BASN,202303,0,5484.97,0,3950.03,9435,0
BASN,202303,0,5465.02,0,3989.98,9455,0
BASN,202303,0,8734.28,0,840.724,9575,0
BASN,202303,0,10384.7,0,-438.662,9946,0
BASN,202303,0,10794.2,0,-58.2388,10736,0
BASN,202303,0,11430.5,0,10.528,11441,0
BASN,202303,0,7942.76,0,3497.24,11440,0
BASN,202303,0,8478.27,0,2777.73,11256,0
BASN,202303,0,7971.84,0,3106.16,11078,0
BASN,202303,0,7436.77,0,3475.23,10912,0
BASN,202303,0,7730.67,0,3041.33,10772,0
BASN,202303,0,7891.27,0,2692.73,10584,0
BASN,202303,0,7391,0,3063,10454,0
BASN,202303,0,7055.71,0,3310.29,10366,0
BASN,202303,0,6506.42,0,3923.58,10430,0
BASN,202303,0,10604.3,0,18.7418,10623,0
BASN,202303,0,9712.85,0,1574.15,11287,0
BASN,202303,0,9710.38,0,1772.62,11483,0
BASN,202303,0,9671.66,0,1641.34,11313,0
BASN,202303,0,9991.76,0,994.24,10986,0
BASN,202304,0,6449.13,0,2895.87,9345,0
BASN,202304,0,5300.92,0,3548.08,8849,0
BASN,202304,0,3817.52,0,4621.48,8439,0
BASN,202304,0,3682.98,0,4558.02,8241,0
BASN,202304,0,3746.32,0,4465.68,8212,0
BASN,202304,0,3776.64,0,4474.36,8251,0
BASN,202304,0,4010.57,0,4414.43,8425,0
BASN,202304,0,4351.32,0,4465.68,8817,0
BASN,202304,0,6198.42,0,3396.58,9595,0
BASN,202304,0,5504.7,0,4664.3,10169,0
BASN,202304,0,6346.86,0,3936.14,10283,0
BASN,202304,0,7127.3,0,3063.7,10191,0
BASN,202304,0,7651.77,0,2520.23,10172,0
BASN,202304,0,7802.78,0,2320.22,10123,0
BASN,202304,0,7684.78,0,2329.22,10014,0
BASN,202304,0,7783.6,0,2177.4,9961,0
BASN,202304,0,7964.45,0,1871.55,9836,0
BASN,202304,0,7071.47,0,3684.33,9820,935.8
BASN,202304,0,7450.53,0,3339.27,9854,935.8
BASN,202304,0,11372.9,0,-461.101,9976,935.8
BASN,202304,0,9819.17,0,606.831,10426,0
BASN,202304,0,9704.94,0,1104.06,10809,0
BASN,202304,0,9738.8,0,1835,10638,935.8
BASN,202304,0,9773.52,0,1453.28,10291,935.8
BASN,202305,0,10026.8,0,-154.832,9872,0
BASN,202305,0,6928.78,0,2375.22,9304,0
BASN,202305,0,4407.32,0,4465.68,8873,0
BASN,202305,0,4263.65,0,4344.35,8608,0
BASN,202305,0,4386.04,0,4115.96,8502,0
BASN,202305,0,3205.05,0,5311.95,8517,0
BASN,202305,0,5852.34,0,2835.66,8688,0
BASN,202305,0,5522.05,0,3690.95,9213,0
BASN,202305,0,5506.32,0,4465.68,9972,0
BASN,202305,0,6153.05,0,4303.95,10457,0
BASN,202305,0,8013.81,0,2398.19,10412,0
BASN,202305,0,6665.17,0,3748.83,10414,0
BASN,202305,0,6910.55,0,3499.45,10410,0
BASN,202305,0,7535.03,0,2809.97,10345,0
BASN,202305,0,7549.02,0,2735.98,10285,0
BASN,202305,0,7542.43,0,2701.57,10244,0
BASN,202305,0,7194.65,0,2964.35,10159,0
BASN,202305,0,8057.73,0,2762.72,10098,722.445
BASN,202305,0,8024.27,0,3004.53,10093,935.8
BASN,202305,0,12711.9,0,-2024.99,10125,561.871
BASN,202305,0,9906.4,0,564.619,10239,232.017
BASN,202305,0,9996.39,0,1313.41,10374,935.8
BASN,202305,0,10555,0,0,10555,0
BASN,202305,0,9339.44,0,1102.95,10228,214.392
BASN,202306,0,7132.76,0,2199.24,9332,0
BASN,202306,0,4878.93,0,4062.07,8941,0
BASN,202306,0,4364.04,0,4182.96,8547,0
BASN,202306,0,4268.59,0,4096.41,8365,0
BASN,202306,0,4589.83,0,3707.17,8297,0
BASN,202306,0,5442.86,0,2930.14,8373,0
BASN,202306,0,5566.57,0,3041.43,8608,0
BASN,202306,0,5903.61,0,3238.39,9142,0
BASN,202306,0,6803.7,0,3060.3,9864,0
BASN,202306,0,6679.66,0,3644.34,10324,0
BASN,202306,0,6961.91,0,3323.09,10285,0
BASN,202306,0,8524.73,0,1801.27,10326,0
BASN,202306,0,9006.6,0,1277.4,10284,0
BASN,202306,0,9138.35,0,1025.65,10164,0
BASN,202306,0,9335.7,0,710.304,10046,0
BASN,202306,0,9535.05,0,325.948,9861,0
BASN,202306,0,8994.14,0,751.858,9746,0
BASN,202306,0,7899.78,0,2617.02,9581,935.8
BASN,202306,0,9182.6,0,1056.84,9517,722.445
BASN,202306,0,11509.2,0,-1994.22,9515,0
BASN,202306,0,10085.9,0,406.909,9557,935.8
BASN,202306,0,9734.54,0,186.483,9780,141.024
BASN,202306,0,10063,0,0,10063,0
BASN,202306,0,10764.5,0,-850.512,9914,0
BASN,202307,0,6907.77,0,1883.23,8791,0
BASN,202307,0,6565.78,0,1809.22,8375,0
BASN,202307,0,5830.44,0,2177.56,8008,0
BASN,202307,0,3616.73,0,4200.27,7817,0
BASN,202307,0,3838.73,0,3876.27,7715,0
BASN,202307,0,4664.51,0,3078.49,7743,0
BASN,202307,0,4973.78,0,3000.22,7974,0
BASN,202307,0,6393.81,0,2070.19,8464,0
BASN,202307,0,7128.36,0,2013.64,9142,0
BASN,202307,0,6797.21,0,2708.79,9506,0
BASN,202307,0,6760.44,0,2859.56,9620,0
BASN,202307,0,8602.85,0,1151.15,9754,0
BASN,202307,0,8868.82,0,946.18,9815,0
BASN,202307,0,8909.63,0,973.368,9883,0
BASN,202307,0,8967.7,0,939.304,9907,0
BASN,202307,0,9107.97,0,780.03,9888,0
BASN,202307,0,9264.27,0,698.73,9963,0
BASN,202307,0,7451.23,0,2539.77,9991,0
BASN,202307,0,8513.93,0,1498.07,10012,0
BASN,202307,0,12872.8,0,-1886.03,10051,935.8
BASN,202307,0,10972.8,0,0,10037,935.8
BASN,202307,0,10781.1,0,288.684,10134,935.8
BASN,202307,0,10278.9,0,62.1393,10341,0
BASN,202307,0,10479.2,0,0,10115,364.221
BASN,202308,0,11306.4,0,434.551,11741,0
BASN,202308,0,9461.05,0,1342.95,10804,0
BASN,202308,0,8267.75,0,1794.25,10062,0
BASN,202308,0,4517.67,0,5042.33,9560,0
BASN,202308,0,5184.23,0,4068.77,9253,0
BASN,202308,0,4228.63,0,4794.37,9023,0
BASN,202308,0,4509.47,0,4508.53,9018,0
BASN,202308,0,4794.53,0,4489.47,9284,0
BASN,202308,0,6363.98,0,3375.02,9739,0
BASN,202308,0,5766.32,0,4465.68,10232,0
BASN,202308,0,7349.3,0,3427.7,10777,0
BASN,202308,0,8584.97,0,2672.03,11257,0
BASN,202308,0,9066.95,0,2695.05,11762,0
BASN,202308,0,9058.32,0,3244.68,12303,0
BASN,202308,0,9353.01,0,3373.99,12727,0
BASN,202308,0,10414.9,0,2636.14,13051,0
BASN,202308,0,11706.6,0,1736.38,13443,0
BASN,202308,0,11890.4,0,1912.62,13803,0
BASN,202308,0,15732.2,0,-1781.2,13951,0
BASN,202308,0,14305.9,0,-192.867,14113,0
BASN,202308,0,13208.9,0,779.078,13988,0
BASN,202308,0,11527.8,0,2113.16,13641,0
BASN,202308,0,11413.1,0,1931.89,13345,0
BASN,202308,0,12140.9,0,888.108,13029,0
BASN,202309,0,9443.69,0,894.311,10338,0
BASN,202309,0,7616.33,0,1977.67,9594,0
BASN,202309,0,6882.79,0,2077.21,8960,0
BASN,202309,0,4619.34,0,3877.66,8497,0
BASN,202309,0,3255.87,0,5000.13,8256,0
BASN,202309,0,3711.32,0,4465.68,8177,0
BASN,202309,0,3269.69,0,4981.31,8251,0
BASN,202309,0,4109.32,0,4465.68,8575,0
BASN,202309,0,5812.02,0,3221.98,9034,0
BASN,202309,0,6102.71,0,3410.29,9513,0
BASN,202309,0,8044.73,0,1937.27,9982,0
BASN,202309,0,8541.39,0,1820.61,10362,0
BASN,202309,0,9033.96,0,1716.04,10750,0
BASN,202309,0,9281.34,0,1816.66,11098,0
BASN,202309,0,9524.34,0,1870.66,11395,0
BASN,202309,0,8252.91,0,3487.09,11740,0
BASN,202309,0,9849.6,0,2174.4,12024,0
BASN,202309,0,10138.5,0,2213.5,12352,0
