load_zone,period,Coal,Uranium,Naturalgas,Distillate,Hydrogen,Waste_biomass,Fuel,Electricity,Heat,Solar,Water,Wind,UnservedLoad,TXPowerNet
BASN,2023,0.00025932111616657996,0,43235.27971202936,2.6717121864776945e-05,0,250.82701085332735,0,264.93646305900006,4046.594438846836,18741.57286037881,10247.29816128118,3032.3205779273626,1.2997984722979421e-06,17434.31939426917
CANO,2023,0,19622.421454534837,44131.64908770497,2.2774096508836563e-05,0,2000.9490209941066,0,0.0007903439840608973,0,20332.960226747015,21384.54678492645,3096.1793879785137,1.2965689652730675e-06,-9600.20889869298
CASO,2023,8.30873294379002e-05,0,54819.105423582296,2.5513460164937223e-05,0,1409.7675147692316,0,687.5862070992679,207.30736416671846,41356.406408632145,3175.164583132641,15095.732937427732,1.2988932483794316e-06,39965.35574722479
FRCC,2023,8.267101434323922e-05,32736.155810676384,222239.30905757003,1.8716565786431667e-05,0,1933.7859873652258,0,255.35189055652413,0,17097.241372191365,114.65863275958233,0,1.2892609270805676e-06,-15065.555340856956
ISNE,2023,4.0457177236924467e-05,29394.212156509053,73451.98243952934,2.0930678621692062e-05,0,1990.9573324898709,0,49.71793773019266,0,10497.700511317602,6266.187324639235,3546.607421039219,1.2926674992201187e-06,4241.228634227575
MISC,2023,3199.8063801258577,20787.50273838512,75064.26282527322,3.3843050014013867e-05,0,729.3600636434284,0,760.8835895254169,0,3712.4494624484273,1641.9593074272298,13444.000921991203,1.3037791913313696e-06,69453.02554993366
MISE,2023,458.3803160478925,10170.371102447118,74759.99536934591,3.000295104388662e-05,0,1128.792843746918,0,2609.0094479205345,0,2223.002348340733,257.74602500069545,8148.23814283797,1.3026762242165933e-06,6417.978713682466
MISS,2023,0.00012477308898247835,47531.81203373997,159199.11127934564,1.9164533146736494e-05,0,912.9330419490946,0,18.72021548424927,0,5039.955329229882,1355.805984975791,0,1.2936107375749432e-06,-39171.02443925376
MISW,2023,4947.749067265523,25650.184066989037,101073.81621528575,2.7085495530920844e-05,0,1181.952963444458,0,58.735302587922455,0,7956.799196322208,4945.87919581701,55711.639884131546,1.3046404512691808e-06,22834.052055881803
NWPP,2023,0.00011336259088649847,10266.731198181462,25864.773284443683,3.0357420083336573e-05,0,1249.8570236680769,0,0.0008222537283478997,189.40540475945988,4561.933499262238,144415.4563596986,20805.5543168896,1.29435719911293e-06,-22364.370122194723
NYCW,2023,0,0,45106.02041101004,767.4545022366366,0,455.51951910320713,0,33.24527255769449,0,1835.4376724370563,0,0,1251.331177136456,27906.798200333375
NYUP,2023,0,29418.740172055826,45097.91702789878,2.5997666964018318e-05,0,1310.9948510970282,0,47.953857456726155,0,4110.638662255966,23228.059241788793,5083.384860515177,1.2875025158005517e-06,-36724.902729313144
PJMC,2023,0.00015189250895504504,95467.46057565464,59913.44910915551,3.655485737285134e-05,0,266.4373430431884,0,131.1691820425743,0,1200.4824705015296,100.53508429167536,9609.737135259556,1.3008653914258245e-06,-44879.31956313164
PJMD,2023,0.00010415101922971186,32482.11554675682,75294.17444596783,2.483799873144899e-05,0,1516.022918188726,0,3641.7618513267735,0,10971.202719341467,625.6005352451964,358.5912752442108,1.297384723322532e-06,-7228.998329640751
PJME,2023,98.84393476037015,112385.66710463373,201503.79142357988,1.9276491789692042e-05,0,2520.821405245205,0,2493.4572866252597,0,12427.956936764967,4285.46255880201,2796.9719457340125,1.2930193385462577e-06,-39343.1377249619
PJMW,2023,2818.842491257074,55415.82068381271,200360.39957780583,2.6833246463979426e-05,0,329.8230261812218,0,503.6967868970654,0,6456.7695448893965,3940.5940485173005,7951.913420439531,1.3009040560971456e-06,38554.19779351081
RMRG,2023,96.04039105822771,0,34930.46654042675,2.9320746787903635e-05,0,84.07760820881823,0,264.6483049465658,0,6790.5320747717715,2698.8219425891507,25872.71522237914,1.3021426385528498e-06,12133.680353804082
SPPC,2023,1943.3350995622702,10920.08308696027,22949.73988769247,2.0966142405697174e-05,0,101.8613177167457,0,3.5654819113568363,0,499.4562016606596,251.1216951144783,24643.239295342162,1.3014989017751894e-06,17681.83641796822
SPPN,2023,145.99688368836973,6745.207347281081,17601.98765386923,3.404016135053235e-05,0,169.9440937835764,0,8.898386518250012,0,540.0512994996569,10386.42833141907,19064.96037445454,1.302352746438476e-06,-5212.116008459996
SPPS,2023,0.0001326507581949016,0,85042.67565085355,2.086612740936552e-05,0,258.55606906410213,0,1078.3146448499524,0,1493.656188661633,3271.576320725471,56340.106333377764,1.2964101957905897e-06,-24990.303473920376
SRCA,2023,119.96573001385504,106054.80817412448,98076.0881146088,2.538294171982553e-05,0,1109.9850833244732,0,4829.195942788706,0,17592.862864471404,2759.5479313789956,0,1.2977627103057595e-06,2262.3270932700393
SRCE,2023,0.0001647303964274229,73858.26889091366,108408.73216663374,1.9632435693028345e-05,0,308.65881570528825,0,2494.8985949506114,0,3402.94851867164,16110.372114693402,16.215233815230903,1.2978438618366698e-06,17901.4323246491
SRSE,2023,0.000133646647564317,61022.22681621422,182588.2948324921,1.6803348725479755e-05,0,2615.4847030026026,0,2810.383568070314,0,12535.136542622615,5673.120083305789,0,1.293025837826806e-06,-16039.233668394081
SRSG,2023,0.0001791331841580071,35066.31837631175,103602.37988458201,2.180667986759373e-05,0,310.5071881232126,0,532.3575490389937,1650.012627358659,20594.55725000718,7739.132616488658,12729.445722452607,1.2951206064459712e-06,-49253.29651958655
TRE,2023,829.1903570541206,44851.24909560369,244846.32204542495,3.504506487274401e-05,0,255.48643442272652,0,2515.588211430753,0,21210.322810272653,566.4641470882119,30999.47792715086,1.293990543435525e-06,83759.92884239307
TREW,2023,0,0,14570.720922182934,3.1445698550557786e-05,0,0,0,2049.6888142233947,0,19592.256519450613,0,77729.11803403846,1.1843496579074993e-06,-91592.03412350226
loadzone,2023,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
