load_zone,period,Batteries,Biomass,Conventional Hydroelectric,Conventional Steam Coal,Geothermal,Hydroelectric Pumped Storage,Natural Gas Fired Combined Cycle,Natural Gas Fired Combustion Turbine,Natural Gas Internal Combustion Engine,Natural Gas Steam Turbine,Nuclear,Offshore Wind Turbine,Onshore Wind Turbine,Petroleum Liquids,Small Hydroelectric,Solar Photovoltaic,distributed_generation,UnservedLoad,TXPowerNet
BASN,2023,264.93602608,250.82710687871577,8476.739079627061,0.0,4046.594454619169,0.0,42740.54881127983,189.862384651656,294.85927446000017,10.012511000000002,0.0,0.0,3032.3205934438774,0.0,1770.5591243366584,16725.045041477606,2016.5278302779002,0.0,17434.316151552805
CANO,2023,0.0,2000.949128818553,19282.207599073172,0.0,0.0,0.0,44079.186092863165,0.0,51.847523701395524,0.6174590099999998,19622.421503999958,0.0,3096.1794180912,0.0,2102.3392319308596,12260.326054034267,8072.634188532599,0.0,-9600.211295155328
CASO,2023,687.5861262477372,1409.7676169491435,2530.5312884858376,0.0,207.30737918591862,0.0,53170.79394186641,1528.4597675379541,119.87354886000008,0.0,0.0,0.0,15095.73295392899,0.0,644.6333384467224,28794.468127588083,12561.938293378204,0.0,39965.33377319306
FRCC,2023,255.35094963872007,1933.786135215384,114.65869114087499,0.0,0.0,0.0,220655.2450231222,1429.831045597186,154.23309516999996,0.0,32736.15587519989,0.0,0.0,0.0,0.0,14228.313732632541,2868.9276712522005,0.0,-15065.555817189093
ISNE,2023,24.757236042062118,1990.9574618687877,3587.4692968549784,0.0,0.0,24.959480789681667,73356.02123067221,50.9800818190426,38.29335874000002,6.68460728,29394.212212800187,122.14092999184919,3424.466528331709,0.0,2678.7180795782406,4942.679393641152,5555.021132152797,0.0,4241.231293538087
MISC,2023,45.29376482531204,729.3601512979299,1462.2670213922552,3199.8045293422065,0.0,709.2385726262768,42694.14220292231,30787.882652580556,486.46214261865157,1095.7811556199297,20787.50278080005,0.0,13444.000947250854,0.0,179.6923249228783,3064.101054193454,648.3484226394996,0.0,69450.90423846152
MISE,2023,1.1635967667520002,1128.7929370320226,96.77037606023904,458.3796741811644,0.0,2614.5049962226603,54000.63326012772,19780.158907953028,979.1995457933594,0.0,10170.371145600011,0.0,8148.238168438485,0.0,160.97568841152025,1929.744088754131,293.25827382970004,0.0,6420.203246635064
MISS,2023,18.71995999359999,912.9331604736062,1328.543132447271,0.0,0.0,0.0,142192.37874028913,8471.15228770199,458.7587438390561,8076.796013400329,47531.81208959999,0.0,0.0,0.0,27.262901877119827,3252.0727969400436,1787.8825600848,0.0,-39170.999097851236
MISW,2023,58.73513295049592,1181.953055289605,293.4381351181265,4947.747930726599,0.0,0.0,67891.47853896157,26961.358959230212,5228.215291209282,992.7781235992755,25650.184109759997,0.0,55711.63991234504,0.0,4652.441098559993,6300.29562212881,1656.5035859444995,0.0,22834.0382797453
NWPP,2023,0.0,1249.85714570495,140351.67744168703,0.0,189.40542356736148,0.0,25670.468306294948,0.0,192.1134726359573,2.1900024,10266.73125120002,0.0,20805.554333901924,0.0,4063.778965451532,3282.1028005462717,1279.830711921599,0.0,-22364.36894191138
NYCW,2023,33.24572337708276,455.51962319903856,0.0,0.0,0.0,0.0,36524.28886573973,6191.278190862543,298.36103981314875,2092.0913063589587,0.0,0.0,0.0,767.4544664382181,0.0,316.9444163626017,1518.4932781484977,1251.3311750274597,27906.79920211695
NYUP,2023,47.95271667613485,1310.995004705292,18651.286291521425,0.0,0.0,0.0,45071.78515950582,0.0,26.136528600000027,0.0,29418.740239680286,0.0,5083.38490015683,0.0,4576.773011636174,2983.8415513905998,1126.7971321949983,0.0,-36724.90799936074
PJMC,2023,131.16907043404333,266.4374439859213,7.008007680000065,0.0,0.0,0.0,41629.021008686635,17483.790135929947,800.6461269000025,0.0,95467.4606217599,0.0,9609.737160872135,0.0,93.52711849536,686.9639914561272,513.5184958276002,0.0,-44879.32778732499
PJMD,2023,55.90500685167995,1516.0230293932696,585.7101234839141,0.0,0.0,3554.9523745892493,66765.51599589708,8385.356840981223,16.08583429999993,127.21685606000085,32482.115596799835,0.0,358.5912983577595,0.0,39.890455715519884,10355.24983936495,615.9528986193003,0.0,-7239.304001764685
PJME,2023,125.83367713599027,2520.8215345411268,3602.5103623822224,98.843808365585,0.0,2367.6842972465424,193982.29163399743,4888.27854111716,1437.8886966143127,1195.3340869833994,112385.66716224072,0.0,2796.9719825079055,0.0,682.9522484400032,4323.38357386166,8104.573378800007,0.0,-39343.11910213303
PJMW,2023,140.43327371973822,329.82312144960264,2354.352575815301,2818.8405158307364,0.0,383.12204176188567,166190.02565797148,33156.742242758904,526.1703738493873,487.45405315582013,55415.82072960029,0.0,7951.9134462383445,0.0,1586.2415143449605,5059.509066475175,1397.2604951970004,0.0,38560.826690926675
RMRG,2023,157.81087265504505,84.07769613984122,1778.095917065817,96.04586778842612,0.0,106.8338938289833,29462.446175231995,3914.18998577837,1449.4419414011873,104.38487602564709,0.0,0.0,25872.715244684532,0.0,920.726065013757,5359.267354915353,1431.2647379267996,0.0,12133.677398322674
SPPC,2023,3.5649597283999954,101.86139162879938,63.65752899531997,1943.337203132978,0.0,0.0,13986.361130746423,7429.3366994640355,1186.2092435467653,347.8399644939085,10920.083160968059,0.0,24640.874675085088,0.0,187.4642054399998,217.98198453829198,281.4742295126,0.0,17684.191511961173
