generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,2195.6
BASN_batteries_1,202300,BASN,0,0,0
BASN_batteries_1,202300,BASN,0,0,0
BASN_batteries_1,202300,BASN,0,0,0
BASN_batteries_1,202300,BASN,0,0,0
BASN_batteries_1,202300,BASN,0,0,212.447
BASN_batteries_1,202300,BASN,0,0,1403.54
BASN_batteries_1,202300,BASN,0,0,913.801
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,2195.6
BASN_batteries_1,202301,BASN,0,0,0
BASN_batteries_1,202301,BASN,0,0,0
BASN_batteries_1,202301,BASN,160.574,0,135.91
BASN_batteries_1,202301,BASN,0,0,0
BASN_batteries_1,202301,BASN,0,0,212.447
BASN_batteries_1,202301,BASN,0,0,1403.54
BASN_batteries_1,202301,BASN,0,0,913.801
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,2195.6
BASN_batteries_1,202302,BASN,0,0,0
BASN_batteries_1,202302,BASN,0,0,0
BASN_batteries_1,202302,BASN,0,0,135.91
BASN_batteries_1,202302,BASN,0,0,0
BASN_batteries_1,202302,BASN,0,0,212.447
BASN_batteries_1,202302,BASN,0,0,1403.54
BASN_batteries_1,202302,BASN,0,0,913.801
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
BASN_batteries_1,202303,BASN,0,0,2195.6
