TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
13-6,2023,PJMC,MISC,1,626.2046712,0.953351612,0.95,5244,4981.8,223818548.85055038
13-16,2023,PJMC,PJMW,2,484.9526117,0.926394747,0.95,980,931.0,42329288.75153909
13-9,2023,PJMC,MISW,3,577.3769837,0.944333709,0.95,3200,3040.0,164650007.92484942
15-12,2023,PJME,NYUP,4,316.6163603,0.917462331,0.95,1255,1192.25,68189790.24075127
15-16,2023,PJME,PJMW,5,482.9870637,0.91544599,0.95,3885,3690.75,245010063.8897398
15-11,2023,PJME,NYCW,6,81.02077939,0.972005581,0.95,660,627.0,47074384.383594275
15-14,2023,PJME,PJMD,7,139.264334,0.951868172,0.95,1200,1140.0,35890047.021505676
6-Jul,2023,MISE,MISC,8,993.3851724,0.925996667,0.95,0,0.0,0.0
16-Jul,2023,MISE,PJMW,9,672.2944948,0.912433921,0.95,2662,2528.9,161497969.5759834
9-Jul,2023,MISE,MISW,10,1338.089537,0.909549871,0.95,0,0.0,0.0
12-May,2023,ISNE,NYUP,11,422.4133412,0.880879323,0.95,1400,1330.0,102193916.9175521
11-May,2023,ISNE,NYCW,12,208.7631968,0.927851018,0.95,760,722.0,111827741.53367047
18-Jun,2023,MISC,SPPC,13,696.0754685,0.948150094,0.95,1430,1358.5,70097875.67287207
16-Jun,2023,MISC,PJMW,14,636.7767279,0.880821679,0.95,5441,5168.95,327521620.9623559
22-Jun,2023,MISC,SRCE,15,807.578846,0.899431405,0.95,3745,3557.75,255885108.40477127
20-Jun,2023,MISC,SPPS,16,1164.300432,0.92712674,0.95,1172,1113.3999999999999,80033276.73237704
8-Jun,2023,MISC,MISS,17,1432.231366,0.911854678,0.95,1039,987.05,81144003.21450785
19-Jun,2023,MISC,SPPN,18,919.2234842,0.941093172,0.95,0,0.0,0.0
9-Jun,2023,MISC,MISW,19,1370.498177,0.897909465,0.95,1655,1572.25,170037968.4807604
1-Feb,2023,CANO,BASN,20,1613.384713,0.876604861,0.95,100,95.0,11666821.983288513
3-Feb,2023,CANO,CASO,21,678.4965251,0.929705712,0.95,3675,3491.25,259942350.18752638
10-Feb,2023,CANO,NWPP,22,1302.611066,0.901279622,0.95,3675,3491.25,360395149.3309033
26-25,2023,TREW,TRE,23,694.9819647,0.943376254,0.95,16529,15702.55,817496506.7936699
26-20,2023,TREW,SPPS,24,594.5912332,0.966111254,0.95,220,209.0,7589193.37030098
18-20,2023,SPPC,SPPS,25,455.0277413,0.966100436,0.95,3372,3203.3999999999996,106769454.25476502
18-8,2023,SPPC,MISS,26,1264.309794,0.927934341,0.95,0,0.0,0.0
18-19,2023,SPPC,SPPN,27,261.1934342,0.98054109,0.95,1433,1361.35,26684695.862804912
18-9,2023,SPPC,MISW,28,1195.02931,0.922599332,0.95,0,0.0,0.0
23-Apr,2023,FRCC,SRSE,29,930.7057767,0.922862516,0.95,3600,3420.0,290195846.90865695
25-20,2023,TRE,SPPS,30,501.3042951,0.957805241,0.95,600,570.0,23176888.008840214
21-16,2023,SRCA,PJMW,31,900.2912298,0.857985267,0.95,1219,1158.05,107090852.83156696
21-22,2023,SRCA,SRCE,32,1047.313911,0.884497427,0.95,216,205.2,20429562.91502549
21-14,2023,SRCA,PJMD,33,525.2547916,0.888607367,0.95,1000,950.0,59530569.7961317
21-23,2023,SRCA,SRSE,34,750.9564569,0.896331374,0.95,1400,1330.0,112482748.01212412
11-Dec,2023,NYUP,NYCW,35,319.0323955,0.916637335,0.95,2489,2364.5499999999997,277220073.8120688
16-22,2023,PJMW,SRCE,36,542.9402245,0.889923572,0.95,3333,3166.35,207463189.75906312
16-14,2023,PJMW,PJMD,37,493.7545178,0.901200227,0.95,6930,6583.5,434233774.266557
17-Jan,2023,BASN,RMRG,38,1478.96874,0.904251241,0.95,3750,3562.5,367229236.0993289
3-Jan,2023,BASN,CASO,39,1052.8154,0.910639518,0.95,5920,5624.0,535651864.1120408
10-Jan,2023,BASN,NWPP,40,2143.682033,0.861875714,0.95,3350,3182.5,479219939.06307936
24-Jan,2023,BASN,SRSG,41,1196.885695,0.872928197,0.95,5385,5115.75,556934741.5414667
22-8,2023,SRCE,MISS,42,910.574012,0.943088939,0.95,4092,3887.3999999999996,256990599.0780723
22-23,2023,SRCE,SRSE,43,808.9930595,0.939731922,0.95,3196,3036.2,231429285.34114158
20-8,2023,SPPS,MISS,44,1083.440259,0.938246861,0.95,1697,1612.1499999999999,88724888.92509358
20-24,2023,SPPS,SRSG,45,1530.651154,0.872400306,0.95,1010,959.5,74756332.94443603
20-19,2023,SPPS,SPPN,46,679.4249276,0.961272779,0.95,0,0.0,0.0
17-10,2023,RMRG,NWPP,47,256.3931816,0.868119729,0.95,400,380.0,45638938.17795787
17-24,2023,RMRG,SRSG,48,1451.938996,0.876886892,0.95,614,583.3,45696522.314546116
23-Aug,2023,MISS,SRSE,49,825.7437764,0.948345616,0.95,891,846.4499999999999,58967080.959860586
10-Mar,2023,CASO,NWPP,50,1859.12101,0.877907911,0.95,2858,2715.1,327668694.4411799
24-Mar,2023,CASO,SRSG,51,670.4280089,0.909797706,0.95,4354,4136.3,274331110.6318771
19-9,2023,SPPN,MISW,52,1014.148628,0.93290953,0.95,5512,5236.4,416948009.848316
19-Oct,2023,NWPP,SPPN,53,2877.936127,0.831470774,0.95,0,0.0,0.0
9-Oct,2023,NWPP,MISW,54,14040.70052,0.775865078,0.95,200,190.0,36477767.347449385
17-19,2023,RMRG,SPPN,55,780.5713742,0.95550743,0.95,410,389.5,16503173.16336613
17-18,2023,RMRG,SPPC,56,936.6269837,0.946612264,0.95,210,199.5,9473424.79879271
24-25,2023,SRSG,TRE,57,1692.236672,0.854443287,0.95,0,0.0,0.0
